Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-07-01,1.14,1.13,1.13,1.13,1.13
2021-07-02,1.13,1.12,1.12,1.12,1.12
2021-07-03,1.12,1.11,1.11,1.11,1.11
2021-07-04,1.10,1.10,1.10,1.10,1.10
2021-07-05,1.09,1.09,1.09,1.09,1.09
2021-07-06,1.08,1.08,1.08,1.08,1.08
2021-07-07,1.08,1.07,1.07,1.07,1.07
2021-07-08,1.07,1.07,1.07,1.07,1.07
