Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-09-01,0.80,0.80,0.80,0.80,0.80
2025-09-02,0.80,0.80,0.80,0.80,0.80
2025-09-03,0.80,0.80,0.80,0.80,0.80
2025-09-04,0.80,0.80,0.80,0.79,0.80
2025-09-05,0.79,0.79,0.79,0.79,0.79
2025-09-06,0.79,0.79,0.79,0.79,0.79
2025-09-07,0.78,0.78,0.78,0.78,0.78
2025-09-08,0.78,0.78,0.78,0.78,0.78
2025-09-09,0.78,0.78
