Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-03-01,1.38,1.36,1.34,1.55,1.41
2020-03-02,1.50,1.46,1.42,1.39,1.44
2020-03-03,1.33,1.32,1.30,1.29,1.31
2020-03-04,1.27,1.27,1.26,1.26,1.27
2020-03-05,1.26,1.25,1.25,1.24,1.25
2020-03-06,1.22,1.21,1.21,1.20,1.21
2020-03-07,1.18,1.18,1.17,1.17,1.18
2020-03-08,1.16,1.16,1.16,1.16,1.16
2020-03-09,1.16,1.16,1.16,1.30,1.20
2020-03-10,1.27,1.26,1.24,1.21,1.25
2020-03-11,1.28,1.53,2.00,1.88,1.67
2020-03-12,1.48,1.40,1.38,1.35,1.40
2020-03-13,1.36,1.32,1.29,1.28,1.31
2020-03-14,1.25,1.24,1.24,1.23,1.24
2020-03-15,1.20,1.20,1.20,1.20,1.20
2020-03-16,1.19,1.19,1.18,1.18,1.19
