Estación : TAMBOPATA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'33'',Longitud :,69°10'31.04'',Altitud :,198 msnm.
Tipo :,EHA - Hidrológica,Código :,260002
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/05/01,00:00,S/D,S/D
2025/05/01,01:00,S/D,S/D
2025/05/01,02:00,S/D,S/D
2025/05/01,03:00,S/D,S/D
2025/05/01,04:00,S/D,S/D
2025/05/01,05:00,S/D,S/D
2025/05/01,06:00,S/D,S/D
2025/05/01,07:00,S/D,S/D
2025/05/01,08:00,S/D,S/D
2025/05/01,09:00,S/D,S/D
2025/05/01,10:00,S/D,S/D
2025/05/01,11:00,S/D,S/D
2025/05/01,12:00,S/D,S/D
2025/05/01,13:00,S/D,S/D
2025/05/01,14:00,S/D,S/D
2025/05/01,15:00,S/D,S/D
2025/05/01,16:00,S/D,S/D
2025/05/01,17:00,S/D,S/D
2025/05/01,18:00,S/D,S/D
2025/05/01,19:00,S/D,S/D
2025/05/01,20:00,S/D,S/D
2025/05/01,21:00,S/D,S/D
2025/05/01,22:00,S/D,S/D
2025/05/01,23:00,S/D,S/D
2025/05/02,00:00,S/D,S/D
2025/05/02,01:00,S/D,S/D
2025/05/02,02:00,S/D,S/D
2025/05/02,03:00,S/D,S/D
2025/05/02,04:00,S/D,S/D
2025/05/02,05:00,S/D,S/D
2025/05/02,06:00,S/D,S/D
2025/05/02,07:00,S/D,S/D
2025/05/02,08:00,S/D,S/D
2025/05/02,09:00,S/D,S/D
2025/05/02,10:00,S/D,S/D
2025/05/02,11:00,S/D,S/D
2025/05/02,12:00,S/D,S/D
2025/05/02,13:00,S/D,S/D
2025/05/02,14:00,S/D,S/D
2025/05/02,15:00,S/D,S/D
2025/05/02,16:00,S/D,S/D
2025/05/02,17:00,S/D,S/D
2025/05/02,19:00,S/D,S/D
2025/05/02,20:00,S/D,S/D
