Estación : TAMBOPATA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°35'33'',Longitud :,69°10'31.04'',Altitud :,198 msnm.
Tipo :,EHA - Hidrológica,Código :,260002
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2025/09/01,00:00,S/D,S/D
2025/09/01,01:00,S/D,S/D
2025/09/01,02:00,S/D,S/D
2025/09/01,03:00,S/D,S/D
2025/09/01,04:00,S/D,S/D
2025/09/01,05:00,S/D,S/D
2025/09/01,06:00,S/D,S/D
2025/09/01,07:00,S/D,S/D
2025/09/01,08:00,S/D,S/D
2025/09/01,09:00,S/D,S/D
2025/09/01,10:00,S/D,S/D
2025/09/01,11:00,S/D,S/D
2025/09/01,12:00,S/D,S/D
2025/09/01,13:00,S/D,S/D
2025/09/01,14:00,S/D,S/D
2025/09/01,15:00,S/D,S/D
2025/09/01
