Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MANITI
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
Latitud :,3°31'13.09'',Longitud :,72°50'27.13'',Altitud :,125 msnm.
Tipo :,PE - Meteorológica,Código :,103009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-01-01,S/D,S/D,90.0,0.0
2024-01-02,S/D,S/D,85.5,0.0
2024-01-03,S/D,S/D,94.1,1.0
2024-01-04,S/D,S/D,87.4,5.3
2024-01-05,S/D,S/D,91.6,0.0
2024-01-06,S/D,S/D,87.6,0.0
2024-01-07,S/D,S/D,91.0,21.5
2024-01-08,S/D,S/D,91.4,5.8
2024-01-09,S/D,S/D,87.7,6.2
2024-01-10,S/D,S/D,88.8,2.8
2024-01-11,S/D,S/D,88.4,97.8
2024-01-12,S/D,S/D,93.5,0.0
2024-01-13,S/D,S/D,86.3,0.0
2024-01-14,S/D,S/D,85.8,0.0
2024-01-15,S/D,S/D,87.1,10.1
2024-01-16,S/D,S/D,91.6,25.7
2024-01-17,S/D,S/D,98.4,14.6
2024-01-18,S/D,S/D,92.3,11.9
2024-01-19,S/D,S/D,94.5,0.3
2024-01-20,S/D,S/D,94.9,29.0
2024-01-21,S/D,S/D,92.0,4.2
2024-01-22,S/D,S/D,91.1,67.3
2024-01-23,S/D,S/D,87.1,0.0
2024-01-24,S/D,S/D,86.3,0.0
2024-01-25,S/D,S/D,84.5,0.0
2024-01-26,S/D,S/D,90.8,0.0
2024-01-27,S/D,S/D,90.4,3.1
2024-01-28,S/D,S/D,92.4,0.0
2024-01-29,S/D,S/D,92.8,0.0
2024-01-30,S/D,S/D,90.5,23.2
2024-01-31,S/D,S/D,95.8,0.0
