Estación : ENAPU PERU
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/11/01,00:00,S/D,0.0
2022/11/01,01:00,S/D,0.0
2022/11/01,02:00,S/D,0.0
2022/11/01,03:00,S/D,0.0
2022/11/01,04:00,S/D,0.0
2022/11/01,05:00,S/D,0.0
2022/11/01,06:00,S/D,0.0
2022/11/01,07:00,S/D,0.0
2022/11/01,08:00,S/D,0.0
2022/11/01,09:00,S/D,0.0
2022/11/01,10:00,S/D,0.0
2022/11/01,11:00,S/D,0.0
2022/11/01,12:00,S/D,0.0
2022/11/01,13:00,S/D,0.0
2022/11/01,14:00,S/D,0.0
2022/11/01,15:00,S/D,0.0
2022/11/01,16:00,S/D,0.0
2022/11/01,17:00,S/D,0.0
2022/11/01,18:00,S/D,0.0
2022/11/01,19:00,S/D,2.7
2022/11/01,20:00,S/D,3.9
2022/11/01,21:00,S/D,0.0
2022/11/01,22:00,S/D,0.0
2022/11/01,23:00,S/D,0.0
2022/11/02,00:00,S/D,0.0
2022/11/02,01:00,S/D,0.0
2022/11/02,04:00,S/D,0.0
2022/11/02,09:00,S/D,0.0
2022/11/02,10:00,S/D,0.0
2022/11/02,12:00,S/D,0.0
2022/11/02,13:00,S/D,0.0
2022/11/02,14:00,S/D,0.0
2022/11/02,15:00,S/D,0.0
2022/11/02,16:00,S/D,0.0
2022/11/02,17:00,S/D,0.0
2022/11/02,18:00,S/D,0.0
2022/11/02,19:00,S/D,0.0
2022/11/02,20:00,S/D,0.0
2022/11/02,21:00,S/D,0.0
2022/11/03,00:00,S/D,0.0
2022/11/03,02:00,S/D,0.0
2022/11/03,03:00,S/D,0.0
2022/11/03,04:00,S/D,0.0
2022/11/03,05:00,S/D,0.0
2022/11/03,06:00,S/D,0.0
2022/11/03,07:00,S/D,0.0
2022/11/03,08:00,S/D,0.0
2022/11/03,09:00,S/D,0.0
2022/11/03,10:00,S/D,0.0
2022/11/03,11:00,S/D,0.0
2022/11/03,12:00,S/D,0.0
2022/11/03,13:00,S/D,0.0
2022/11/03,14:00,S/D,0.0
2022/11/03,15:00,S/D,0.0
2022/11/03,16:00,S/D,0.0
2022/11/03,17:00,S/D,0.0
2022/11/03,18:00,S/D,0.0
2022/11/03,19:00,S/D,0.0
2022/11/03,20:00,S/D,0.0
2022/11/03,21:00,S/D,0.0
2022/11/03,22:00,S/D,0.0
2022/11/03,23:00,S/D,0.0
2022/11/04,00:00,S/D,0.0
2022/11/04,01:00,S/D,0.0
2022/11/04,02:00,S/D,0.0
2022/11/04,03:00,S/D,0.0
2022/11/04,04:00,S/D,0.0
2022/11/04,05:00,S/D,0.0
2022/11/04,06:00,S/D,0.0
2022/11/04,07:00,S/D,0.0
2022/11/04,08:00,S/D,0.0
2022/11/04,10:00,S/D,0.0
2022/11/04,11:00,S/D,0.0
2022/11/04,12:00,S/D,0.0
2022/11/04,13:00,S/D,0.0
2022/11/04,14:00,S/D,0.0
2022/11/04,15:00,S/D,0.0
2022/11/04,16:00,S/D,0.0
2022/11/04,17:00,S/D,0.0
2022/11/04,18:00,S/D,0.0
2022/11/04,19:00,S/D,0.0
2022/11/04,20:00,S/D,0.0
2022/11/04,21:00,S/D,0.0
2022/11/04,22:00,S/D,0.0
2022/11/04,23:00,S/D,0.0
2022/11/05,00:00,S/D,0.0
2022/11/05,01:00,S/D,0.0
2022/11/05,02:00,S/D,0.0
2022/11/05,03:00,S/D,0.0
2022/11/05,04:00,S/D,0.0
2022/11/05,05:00,S/D,0.0
2022/11/05,06:00,S/D,0.0
2022/11/05,07:00,S/D,0.0
2022/11/05,08:00,S/D,0.0
2022/11/05,09:00,S/D,0.0
2022/11/05,10:00,S/D,0.0
2022/11/05,11:00,S/D,0.0
2022/11/05,12:00,S/D,0.0
2022/11/05,13:00,S/D,0.0
2022/11/05,14:00,S/D,0.0
2022/11/05,15:00,S/D,0.0
2022/11/05,16:00,S/D,0.0
2022/11/05,17:00,S/D,0.0
2022/11/05,18:00,S/D,0.0
2022/11/05,19:00,S/D,0.0
2022/11/05,20:00,S/D,0.0
2022/11/05,21:00,S/D,0.0
2022/11/05,22:00,S/D,0.0
2022/11/05,23:00,S/D,0.0
2022/11/06,00:00,S/D,0.0
2022/11/06,01:00,S/D,0.0
2022/11/06,02:00,S/D,0.0
2022/11/06,03:00,S/D,0.0
2022/11/06,04:00,S/D,0.0
2022/11/06,05:00,S/D,0.0
2022/11/06,06:00,S/D,0.0
2022/11/06,07:00,S/D,0.0
2022/11/06,08:00,S/D,0.0
2022/11/06,09:00,S/D
