Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos.
Estación : ENAPU PERU
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°43'38'',Longitud :,73°14'13'',Altitud :,126 msnm.
Tipo :,EHMA - Hidrológica,Código :,47252718
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/04/18,18:00,S/D,0.0
2022/04/18,19:00,S/D,0.0
2022/04/18,20:00,S/D,0.0
2022/04/19,09:00,S/D,0.0
2022/04/19,10:00,S/D,0.0
2022/04/19,11:00,S/D,0.0
2022/04/19,14:00,S/D,0.0
2022/04/19,15:00,S/D,0.0
2022/04/19,16:00,S/D,0.0
2022/04/19,17:00,S/D,0.0
2022/04/19,18:00,S/D,0.0
2022/04/20,08:00,S/D,0.0
2022/04/20,09:00,S/D,0.0
2022/04/20,10:00,S/D,0.0
2022/04/20,11:00,S/D,0.0
2022/04/20,12:00,S/D,0.0
2022/04/20,13:00,S/D,0.0
2022/04/20,15:00,S/D,0.0
2022/04/20,16:00,S/D,0.0
2022/04/20,17:00,S/D,0.0
2022/04/20,18:00,S/D,0.0
2022/04/20,19:00,S/D,S/D
2022/04/21,08:00,S/D,0.0
2022/04/21,09:00,S/D,0.0
2022/04/21,10:00,S/D,0.0
2022/04/21,12:00,S/D,0.0
2022/04/21,14:00,S/D,0.0
2022/04/21,15:00,S/D,0.0
2022/04/21,16:00,S/D,0.0
2022/04/21,17:00,S/D,0.0
2022/04/21,18:00,S/D,0.0
2022/04/21,19:00,S/D,S/D
2022/04/22,07:00,S/D,0.0
2022/04/22,08:00,S/D,0.0
2022/04/22,12:00,S/D,0.0
2022/04/22,14:00,S/D,0.0
2022/04/22,15:00,S/D,10.2
2022/04/22,16:00,S/D,0.0
2022/04/22,17:00,S/D,0.0
2022/04/22,18:00,S/D,0.0
