Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : ANGAMOS
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-07-01,11.40,11.39,11.38,11.37,11.39
2021-07-02,11.36,11.37,11.37,11.37,11.37
2021-07-03,11.38,11.37,11.36,11.35,11.37
2021-07-04,11.34,11.33,11.32,11.31,11.33
2021-07-05,11.30,11.28,11.26,11.24,11.27
2021-07-06,11.20,11.16,11.10,11.06,11.13
2021-07-07,10.95,10.93,10.91,10.89,10.92
2021-07-08,10.87,10.86,10.85,10.84,10.86
2021-07-09,10.83,10.81,10.79,10.76,10.80
2021-07-10,10.74,10.73,10.73,10.73,10.73
2021-07-11,10.72,10.72,10.72,10.72,10.72
2021-07-12,10.71,10.71,10.71,10.71,10.71
2021-07-13,10.71,10.72,10.73,10.74,10.73
2021-07-14,10.75,10.76,10.77,10.78,10.77
2021-07-15,10.79,10.80,10.81,10.82,10.81
2021-07-16,10.83,10.84,10.85,10.86,10.85
2021-07-17,10.86,10.87,10.88,10.89,10.88
2021-07-18,10.90,10.88,10.86,10.84,10.87
2021-07-19,10.82,10.81,10.80,10.79,10.81
2021-07-20,10.78,10.76,10.74,10.72,10.75
2021-07-21,10.70,10.67,10.65,10.63,10.66
2021-07-22,10.60,10.58,10.55,10.51,10.56
2021-07-23,10.47,10.47,10.47,10.47,10.47
2021-07-24,10.47,10.45,10.43,10.41,10.44
2021-07-25,10.40,10.39,10.38,10.37,10.39
2021-07-26,10.35,10.33,10.30,10.28,10.32
2021-07-27,10.26,10.23,10.20,10.17,10.22
2021-07-28,10.15,10.13,10.10,10.07,10.11
2021-07-29,10.04,10.00,9.98,9.96,10.00
2021-07-30,9.94,9.92,9.90,9.88,9.91
2021-07-31,9.86,9.83,9.81,9.78,9.82
