Estación : EL ESTRECHO
Departamento :,LORETO,Provincia :,PUTUMAYO,Distrito :,PUTUMAYO
Latitud :,2°27'10.67'',Longitud :,72°40'52.42'',Altitud :,105 msnm.
Tipo :,HLM - Hidrológica,Código :,240402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-02-01,7.04,7.06,7.08,7.10,7.07
2025-02-02,7.17,7.19,7.22,7.25,7.21
2025-02-03,7.32,7.32,7.33,7.30,7.32
2025-02-04,7.35,7.36,7.37,7.38,7.37
2025-02-05,7.42,7.44,7.46,7.48,7.45
2025-02-06,7.53,7.54,7.55,7.56,7.55
2025-02-07,7.60,7.62,7.65,7.68,7.64
2025-02-08,7.75,7.76,7.78,7.78,7.77
2025-02-09,7.85,7.85,7.86,7.86,7.86
2025-02-10,7.87,7.86,7.85,7.84,7.86
2025-02-11,7.81,7.80,7.78,7.78,7.79
2025-02-12,7.76,7.76,7.76,7.77,7.76
2025-02-13,7.77,7.78,7.80,7.82,7.79
2025-02-14,7.91,7.95,8.00,8.06,7.98
2025-02-15,8.30,8.35,8.41,8.48,8.39
