Estación : AMAZONAS
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,BELEN
Latitud :,3°46'.58'',Longitud :,73°15'11.07'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240503
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-07-01,17.72,17.71,17.69,17.67,17.70
2025-07-02,17.63,17.61,17.59,17.57,17.60
2025-07-03,17.50,17.49,17.48,17.46,17.48
2025-07-04,17.40,17.39,17.37,17.36,17.38
2025-07-05,17.30,17.29,17.27,17.25,17.28
