Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : CHIRIACO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,IMAZA
Latitud :,5°9'41.2'',Longitud :,78°17'17'',Altitud :,323 msnm.
Tipo :,CO - Meteorológica,Código :,105104
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-10-01,31.2,S/D,84.2,4.4
2018-10-02,30.2,S/D,87.1,8.8
2018-10-03,32.4,S/D,80.2,28.8
2018-10-04,27.2,S/D,87.6,15.4
2018-10-05,30.5,S/D,86.4,S/D
2018-10-06,S/D,S/D,S/D,S/D
2018-10-07,S/D,S/D,S/D,S/D
2018-10-08,S/D,S/D,S/D,S/D
2018-10-09,32.8,S/D,82.1,25.0
2018-10-10,29.5,S/D,86.7,2.5
2018-10-11,32.8,S/D,81.2,2.2
2018-10-12,32.5,S/D,81.4,0.0
2018-10-13,29.2,S/D,88.6,1.2
2018-10-14,26,S/D,92.1,3.5
2018-10-15,32,S/D,79.3,0.0
2018-10-16,34.6,S/D,76.2,0.9
2018-10-17,31.2,S/D,89.6,1.1
2018-10-18,35.6,S/D,78.5,0.0
2018-10-19,32,S/D,84.9,0.0
2018-10-20,30.8,S/D,84.2,0.0
2018-10-21,31.4,S/D,85.3,12.9
2018-10-22,33.6,S/D,81.5,3.2
2018-10-23,33.5,S/D,78.6,1.2
2018-10-24,33,S/D,81.2,0.0
2018-10-25,29.7,S/D,85.5,0.0
2018-10-26,30,S/D,87.0,13.2
2018-10-27,29.4,S/D,87.3,8.8
2018-10-28,33.7,S/D,79.9,0.0
2018-10-29,30.5,S/D,86.8,13.4
2018-10-30,29.2,S/D,87.4,7.2
2018-10-31,27,S/D,89.4,18.0
