Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'25.07'',Longitud :,73°15'20.13'',Altitud :,91 msnm.
Tipo :,PE - Meteorológica,Código :,103015
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-01-01,S/D,S/D,S/D,S/D
2022-01-02,S/D,S/D,S/D,S/D
2022-01-03,34,21.8,85.9,0.0
2022-01-04,34.2,23,82.9,0.0
2022-01-05,34.8,22.2,85.4,0.0
2022-01-06,35,22.4,84.2,0.0
2022-01-07,31.2,23.2,87.0,0.0
2022-01-08,34,25.4,85.7,0.0
2022-01-09,34,25,81.9,0.0
2022-01-10,33.6,25,85.0,0.0
2022-01-11,35,22.6,85.0,0.0
2022-01-12,35.2,23.6,84.7,0.0
2022-01-13,33,23.2,83.7,0.0
2022-01-14,32,24.2,91.7,16.1
2022-01-15,30,22.6,88.7,5.5
2022-01-16,33,22.4,86.2,12.5
2022-01-17,31.2,22,89.1,1.4
2022-01-18,34.6,21,84.9,0.0
2022-01-19,30.2,24.4,88.2,5.9
2022-01-20,28.4,24,94.0,2.5
2022-01-21,32.4,23.2,89.8,1.2
2022-01-22,31,24,87.9,7.4
2022-01-23,33.2,24.2,86.0,0.0
2022-01-24,32.8,24,88.0,4.9
2022-01-25,27.4,22.8,96.8,31.5
2022-01-26,28.6,22,91.0,0.0
2022-01-27,31.4,24,89.4,0.0
2022-01-28,34.4,24.2,85.2,0.0
2022-01-29,34.4,23.2,85.3,0.0
2022-01-30,32.6,23.6,S/D,0.0
2022-01-31,34.2,24,86.5,0.0
