Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'25.07'',Longitud :,73°15'20.13'',Altitud :,91 msnm.
Tipo :,PE - Meteorológica,Código :,103015
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-03-01,32.2,19.4,86.3,7.0
2020-03-02,32.6,18.2,85.0,0.0
2020-03-03,32.8,19.6,84.8,0.0
2020-03-04,32.6,20.2,86.2,0.0
2020-03-05,33.8,19.2,86.6,S/D
2020-03-06,30.2,S/D,S/D,0.0
2020-03-07,31.4,19.2,89.0,0.0
2020-03-08,31.8,19.6,87.2,0.0
2020-03-09,29.2,19,95.2,9.8
2020-03-10,29,18,95.2,1.8
2020-03-11,31,17,85.8,0.0
2020-03-12,35.2,19.6,85.2,14.8
2020-03-13,35,19.4,85.1,11.0
2020-03-14,30.6,18.4,89.6,0.0
2020-03-15,34,19.4,86.7,0.0
2020-03-16,32.2,19.6,89.0,0.0
2020-03-17,S/D,20,S/D,S/D
2020-03-20,34.4,20,82.3,0.0
2020-03-21,34,20.6,86.7,0.0
2020-03-22,34.8,20.2,84.0,0.0
2020-03-23,32.8,20,86.9,52.4
2020-03-24,31.8,19.8,90.2,0.0
2020-03-25,34,19.4,83.6,0.0
2020-03-26,34.2,19,87.2,0.0
2020-03-27,34.8,19.4,83.9,S/D
2020-03-28,32.4,S/D,S/D,12.4
2020-03-29,26.8,18.2,96.2,14.5
2020-03-30,29.8,19.6,93.7,6.9
2020-03-31,30,19.4,83.5,6.9
