Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'25.07'',Longitud :,73°15'20.13'',Altitud :,91 msnm.
Tipo :,PE - Meteorológica,Código :,103015
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2023-09-01,36.4,24,S/D,0.0
2023-09-02,36.4,24.4,S/D,7.1
2023-09-04,35.6,23.4,S/D,8.4
2023-09-05,30.8,23.4,S/D,16.3
2023-09-06,34.2,23.2,S/D,0.0
2023-09-07,35.4,22.8,S/D,0.0
2023-09-08,35.6,23.4,S/D,0.0
2023-09-09,36,24.6,S/D,13.7
2023-09-11,35.4,22.8,S/D,0.0
2023-09-12,35.2,24.4,S/D,23.6
2023-09-13,S/D,23.4,S/D,S/D
2023-09-14,S/D,24.6,S/D,S/D
2023-09-15,31.2,22.2,S/D,30.0
2023-09-16,34.8,23.4,S/D,8.2
2023-09-18,29.8,22.6,S/D,0.0
2023-09-19,34.2,23.4,S/D,31.6
2023-09-20,32.6,22.8,S/D,0.0
2023-09-21,34.4,24,S/D,0.0
2023-09-22,35.6,24.2,S/D,0.0
2023-09-23,34.4,23.4,S/D,11.6
2023-09-25,34.6,23.6,S/D,0.0
2023-09-26,36.6,24.8,S/D,0.0
2023-09-27,37,25.8,S/D,0.0
2023-09-28,37.4,25.2,S/D,0.0
2023-09-29,35,24.4,S/D,0.0
2023-09-30,34.6,25.2,S/D,-999.0
