Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'25.07'',Longitud :,73°15'20.13'',Altitud :,91 msnm.
Tipo :,PE - Meteorológica,Código :,103015
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-09-01,34.4,24,S/D,0.0
2024-09-02,29,23.4,S/D,16.6
2024-09-03,31.6,23.2,S/D,0.0
2024-09-04,33.2,23.6,S/D,0.0
2024-09-05,33.6,24,S/D,34.4
2024-09-06,30.2,22.4,S/D,0.0
2024-09-07,31.4,23,S/D,-999.0
2024-09-08,S/D,S/D,S/D,S/D
2024-09-09,35,24,S/D,0.0
2024-09-10,35.6,23.6,S/D,0.0
2024-09-11,35.4,24.8,S/D,0.0
2024-09-12,36.2,25,S/D,0.0
2024-09-13,36.4,25.2,S/D,0.0
2024-09-14,36.6,25,S/D,-999.0
2024-09-15,S/D,S/D,S/D,S/D
2024-09-16,33,25,S/D,S/D
2024-09-17,33.4,S/D,S/D,0.0
2024-09-18,34.6,24.6,S/D,0.0
2024-09-19,36,25,S/D,0.0
2024-09-20,36.6,24,S/D,2.0
2024-09-21,35.4,25.4,S/D,0.0
2024-09-23,34.8,24,S/D,0.0
2024-09-24,37.4,25,S/D,0.0
2024-09-25,37.6,24.8,S/D,0.0
2024-09-26,36.6,25,S/D,0.0
2024-09-27,34.4,24.8,S/D,39.5
2024-09-28,29.4,22.4,S/D,0.0
2024-09-30,33.8,24,S/D,2.5
