Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BELLAVISTA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-08-01,7.86,7.85,7.84,7.82,7.84
2025-08-02,7.80,7.77,7.74,7.71,7.76
2025-08-03,7.58,7.56,7.53,7.50,7.54
2025-08-04,7.44,7.42,7.40,7.38,7.41
2025-08-05,7.25,7.23,7.20,7.19,7.22
2025-08-06,7.02,6.98,6.97,6.94,6.98
2025-08-07,6.81,6.77,6.74,6.70,6.76
2025-08-08,6.55,6.51,6.47,6.43,6.49
2025-08-09,6.28,6.26,6.24,6.22,6.25
2025-08-10,6.14,6.11,6.09,6.04,6.10
2025-08-11,5.90,5.92,5.94,5.94,5.93
2025-08-12,5.98,5.98,5.98,5.98,5.98
2025-08-13,5.92,5.90,5.88,5.86,5.89
2025-08-14,5.73,5.73,5.70,5.70,5.72
2025-08-15,5.59,5.57,5.55,5.53,5.56
2025-08-16,5.43,5.47,5.49,5.52,5.48
2025-08-17,5.63,5.66,5.59,5.71,5.65
2025-08-18,5.90,5.92,5.94,5.94,5.93
2025-08-19,5.99,5.99,5.98,5.98,5.99
2025-08-20,5.94,5.92,5.90,5.88,5.91
2025-08-21,5.81,5.82,5.82,5.83,5.82
2025-08-22,5.86,5.87,5.89,5.90,5.88
2025-08-23,5.93,5.93,5.90,5.90,5.92
2025-08-24,5.87,5.85,5.83,5.81,5.84
2025-08-25,5.78,5.77,5.75,5.73,5.76
2025-08-26,5.68,5.60,5.68,5.68,5.66
2025-08-27,5.61,5.57,5.51,5.47,5.54
2025-08-28,5.25,5.23,5.19,5.16,5.21
2025-08-29,5.08,5.04,5.01,4.97,5.03
2025-08-30,4.89,4.87,4.85,4.83,4.86
2025-08-31,4.78,4.78,4.75,4.75,4.77
