Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BELLAVISTA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-05-01,6.41,6.43,6.45,6.47,6.44
2024-05-02,6.58,6.60,6.62,6.64,6.61
2024-05-03,6.69,6.69,6.66,6.66,6.68
2024-05-04,6.59,6.56,6.53,6.50,6.55
2024-05-05,6.42,6.40,6.38,6.35,6.39
2024-05-06,6.24,6.22,6.20,6.18,6.21
2024-05-07,6.09,6.11,6.13,6.15,6.12
2024-05-08,6.23,6.26,6.29,6.32,6.28
2024-05-09,6.44,6.44,6.47,6.47,6.46
2024-05-10,6.56,6.56,6.56,6.56,6.56
2024-05-11,6.63,6.65,6.67,6.69,6.66
2024-05-12,6.76,6.78,6.80,6.82,6.79
2024-05-13,6.91,6.93,6.95,6.99,6.95
2024-05-14,7.10,7.10,7.10,7.10,7.10
2024-05-15,7.14,7.17,7.20,7.23,7.19
2024-05-16,7.32,7.32,7.32,7.32,7.32
2024-05-17,7.35,7.37,7.39,7.41,7.38
2024-05-18,7.48,7.48,7.46,7.46,7.47
2024-05-19,7.50,7.52,7.54,7.56,7.53
2024-05-20,7.68,7.66,7.64,7.62,7.65
2024-05-21,7.51,7.84,7.50,7.50,7.59
2024-05-22,7.48,7.46,7.44,7.42,7.45
2024-05-23,7.36,7.35,7.34,7.32,7.34
2024-05-24,7.28,7.30,7.32,7.32,7.31
2024-05-25,7.40,7.40,7.41,7.41,7.41
2024-05-26,7.38,7.37,7.36,7.35,7.37
2024-05-27,7.83,7.30,7.28,7.26,7.42
2024-05-28,7.19,7.19,7.18,7.17,7.18
2024-05-29,7.10,7.08,7.06,7.04,7.07
2024-05-30,6.98,7.02,7.03,7.03,7.02
2024-05-31,7.05,7.05,7.07,7.09,7.07
