Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BELLAVISTA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-10-01,3.24,3.27,3.30,3.32,3.28
2025-10-02,3.41,3.43,3.46,3.49,3.45
2025-10-03,3.60,3.62,3.64,3.67,3.63
2025-10-04,3.74,3.76,3.78,3.79,3.77
2025-10-05,3.83,3.83,3.87,3.87,3.85
2025-10-06,3.92,3.94,3.84,3.96,3.92
2025-10-07,3.89,3.89,3.89,3.89,3.89
2025-10-08,3.85,3.91,3.96,4.04,3.94
2025-10-09,4.22,4.25,4.29,4.33,4.27
2025-10-10,4.57,4.59,4.63,4.67,4.62
2025-10-11,4.83,4.86,4.89,4.91,4.87
2025-10-12,5.09,5.12,5.15,5.18,5.14
2025-10-13,5.31,5.31,5.30,5.30,5.31
2025-10-14,5.24,5.22,5.20,5.18,5.21
2025-10-15,5.13,5.13,5.13,5.13,5.13
2025-10-16,5.15,5.17,5.17,5.19,5.17
2025-10-17,5.23,5.22,5.21,5.20,5.22
2025-10-18,5.16,5.17,5.16,5.14,5.16
2025-10-19,5.10,5.08,5.06,5.04,5.07
2025-10-20,4.96,4.95,4.93,4.90,4.94
2025-10-21,4.85,4.85,4.85,4.85,4.85
2025-10-22,4.91,4.94,4.98,5.01,4.96
2025-10-23,5.14,5.16,5.18,5.20,5.17
2025-10-24,5.31,5.31,5.33,5.33,5.32
2025-10-25,5.38,5.39,5.40,5.41,5.40
2025-10-26,5.35,5.35,5.35,5.35,5.35
2025-10-27,5.21,5.19,5.17,5.15,5.18
2025-10-28,5.10,5.07,5.04,5.01,5.06
2025-10-29,4.91,4.89,4.87,4.85,4.88
2025-10-30,4.79,4.82,4.84,4.86,4.83
2025-10-31,4.94,4.95,4.96,4.96,4.95
