Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BELLAVISTA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-05-01,5.61,5.60,5.59,5.58,5.60
2020-05-02,5.51,5.51,5.51,5.52,5.51
2020-05-03,5.59,5.61,5.64,5.69,5.63
2020-05-04,5.78,5.78,5.78,5.78,5.78
2020-05-05,5.78,5.78,5.78,5.78,5.78
2020-05-06,5.78,5.81,5.85,5.89,5.83
2020-05-07,6.19,6.23,6.28,6.36,6.27
2020-05-08,6.68,6.70,6.73,6.67,6.70
2020-05-09,6.97,6.98,6.99,7.00,6.99
2020-05-10,7.03,7.05,7.07,7.09,7.06
2020-05-11,7.11,7.11,7.10,7.10,7.11
2020-05-12,7.06,7.06,7.07,7.09,7.07
2020-05-13,7.14,7.15,7.17,7.19,7.16
2020-05-14,7.28,7.28,7.29,7.31,7.29
2020-05-15,7.34,7.36,7.40,7.45,7.39
2020-05-16,7.58,7.60,7.62,7.65,7.61
2020-05-17,7.72,7.75,7.78,7.80,7.76
2020-05-18,7.87,7.88,7.89,7.90,7.89
2020-05-19,7.96,7.96,7.97,7.97,7.97
2020-05-20,7.98,7.98,7.98,7.98,7.98
2020-05-21,8.02,8.02,8.03,8.03,8.03
2020-05-22,8.03,8.03,8.03,8.03,8.03
2020-05-23,8.05,8.05,8.05,8.05,8.05
2020-05-24,8.05,8.05,8.05,8.05,8.05
2020-05-25,8.03,8.03,8.02,8.01,8.02
2020-05-26,7.98,7.98,7.99,7.99,7.99
2020-05-27,8.04,8.04,8.03,8.02,8.03
2020-05-28,7.97,7.97,7.97,7.97,7.97
2020-05-29,7.87,7.98,7.96,7.96,7.94
2020-05-30,7.93,7.93,7.93,7.93,7.93
2020-05-31,7.93,7.93,7.93,7.92,7.93
