Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : BELLAVISTA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-05-01,5.60,5.58,5.56,5.54,5.57
2023-05-02,5.49,5.49,5.49,5.49,5.49
2023-05-03,5.49,5.49,5.49,5.49,5.49
2023-05-04,5.50,5.50,5.50,5.50,5.50
2023-05-05,5.50,5.50,5.51,5.51,5.51
2023-05-06,5.53,5.55,5.60,5.64,5.58
2023-05-07,5.70,5.72,5.75,5.75,5.73
2023-05-08,5.89,5.90,5.91,5.91,5.90
2023-05-09,5.94,5.94,5.95,5.96,5.95
2023-05-10,5.90,5.90,5.89,5.88,5.89
2023-05-11,5.81,5.79,5.76,5.73,5.77
2023-05-12,5.63,5.60,5.56,5.52,5.58
2023-05-13,5.42,5.40,5.39,5.38,5.40
2023-05-14,5.58,5.38,5.39,5.38,5.43
2023-05-15,5.39,5.39,5.40,5.43,5.40
2023-05-16,5.62,5.64,5.67,5.70,5.66
2023-05-17,5.78,5.78,5.79,5.80,5.79
2023-05-18,5.86,5.88,5.89,5.90,5.88
2023-05-19,5.98,5.99,6.00,6.02,6.00
2023-05-20,6.10,6.12,6.14,6.15,6.13
2023-05-21,6.22,6.23,6.24,6.25,6.24
2023-05-22,6.33,6.33,6.34,6.34,6.34
2023-05-23,6.40,6.41,6.42,6.43,6.42
2023-05-24,6.49,6.49,6.50,6.50,6.50
2023-05-25,6.53,6.53,6.53,6.53,6.53
2023-05-26,6.55,6.55,6.54,6.54,6.55
2023-05-27,6.54,6.54,6.54,6.54,6.54
2023-05-28,6.53,6.53,6.50,6.51,6.52
2023-05-29,6.48,6.48,6.47,6.47,6.48
2023-05-30,6.45,6.45,6.45,6.45,6.45
2023-05-31,6.45,6.45,6.46,6.47,6.46
