Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-03-01,3.60,3.60,3.60,3.60,3.60
2021-03-02,3.61,3.61,3.61,3.62,3.61
2021-03-03,3.64,3.64,3.65,3.66,3.65
2021-03-04,3.66,3.66,3.68,3.68,3.67
2021-03-05,3.70,3.70,3.70,3.70,3.70
2021-03-06,3.70,3.70,3.70,3.70,3.70
2021-03-07,3.85,3.97,4.14,4.27,4.06
2021-03-08,4.42,4.45,4.46,4.49,4.46
2021-03-09,4.57,4.60,4.63,4.65,4.61
2021-03-10,4.75,4.77,4.80,4.85,4.79
2021-03-11,4.90,4.90,4.90,4.88,4.90
2021-03-12,4.84,4.81,4.80,4.78,4.81
2021-03-13,4.70,4.69,4.66,4.65,4.68
2021-03-14,4.60,4.60,4.58,4.57,4.59
2021-03-15,4.54,4.53,4.51,4.50,4.52
2021-03-16,4.66,4.67,4.69,4.70,4.68
2021-03-17,4.76,4.76,4.76,4.77,4.76
2021-03-18,4.78,4.78,4.78,4.79,4.78
2021-03-19,4.85,4.87,4.95,5.10,4.94
2021-03-20,5.25,5.26,5.27,5.30,5.27
2021-03-21,5.31,5.31,5.31,5.32,5.31
2021-03-22,5.30,5.32,5.34,5.36,5.33
2021-03-23,5.34,5.34,5.34,5.34,5.34
2021-03-24,5.31,5.31,5.31,5.31,5.31
2021-03-25,5.35,5.37,5.39,5.39,5.38
2021-03-26,5.41,5.41,5.40,5.45,5.42
2021-03-27,5.49,5.52,5.55,5.57,5.53
2021-03-28,5.72,5.76,5.81,5.85,5.79
2021-03-29,5.95,5.95,5.97,5.98,5.96
2021-03-30,5.98,5.98,5.98,5.98,5.98
2021-03-31,6.00,6.01,6.01,6.01,6.01
