Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-08-01,6.59,6.57,6.53,6.54,6.56
2020-08-02,6.49,6.46,6.43,6.42,6.45
2020-08-03,6.32,6.29,6.25,6.22,6.27
2020-08-04,6.13,6.08,6.05,6.02,6.07
2020-08-05,5.98,5.96,5.95,5.94,5.96
2020-08-06,5.90,5.90,5.88,5.87,5.89
2020-08-07,5.78,5.76,5.74,5.72,5.75
2020-08-08,5.62,5.56,5.52,5.49,5.55
2020-08-09,5.29,5.25
