Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-06-01,7.11,7.11,7.11,7.11,7.11
2020-06-02,7.11,7.11,7.11,7.12,7.11
2020-06-03,7.18,7.20,7.21,7.23,7.21
2020-06-04,7.23,7.23,7.23,7.23,7.23
2020-06-05,7.25,7.25,7.24,7.24,7.25
2020-06-06,7.23,7.23,7.22,7.22,7.23
2020-06-07,7.21,7.21,7.20,7.20,7.21
2020-06-08,7.18,7.18,7.16,7.15,7.17
2020-06-09,7.12,7.10,7.10,7.06,7.10
2020-06-10,7.03,7.03,7.02,7.01,7.02
2020-06-11,7.00,6.98,6.98,6.98,6.99
2020-06-12,6.96,6.96,6.95,6.94,6.95
2020-06-13,6.91,6.90,6.89,6.88,6.90
2020-06-14,6.85,6.83,6.81,6.80,6.82
2020-06-15,6.73,6.73,6.72,6.70,6.72
2020-06-16,6.70,6.70,6.70,6.70,6.70
2020-06-17,6.71,6.71,6.71,6.71,6.71
2020-06-18,6.66,6.62,6.60,6.58,6.62
2020-06-19,6.47,6.44,6.39,6.35,6.41
2020-06-20,6.97,6.97,6.97,6.96,6.97
2020-06-21,6.04,6.04,6.05,6.06,6.05
2020-06-22,6.10,6.10,6.10,6.11,6.10
2020-06-23,6.11,6.11,6.11,6.11,6.11
2020-06-24,6.13,6.13,6.14,6.15,6.14
2020-06-25,6.17,6.17,6.19,6.19,6.18
2020-06-26,6.21,6.23,6.26,6.28,6.25
2020-06-27,6.30,6.31,6.32,6.33,6.32
2020-06-28,6.35,6.35,6.37,6.38,6.36
2020-06-29,6.43,6.44,6.46,6.47,6.45
2020-06-30,6.50,6.52,6.53,6.53,6.52
