Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-09-01,1.80,1.82,1.84,1.85,1.83
2024-09-02,1.93,1.94,1.96,1.98,1.95
2024-09-03,2.01,2.01,2.01,2.01,2.01
2024-09-04,1.92,1.90,1.86,1.80,1.87
2024-09-05,1.75,1.72,1.70,1.68,1.71
2024-09-06,1.60,1.57,1.55,1.53,1.56
2024-09-07,1.49,1.46,1.45,1.44,1.46
2024-09-08,1.40,1.40,1.40,1.38,1.40
2024-09-09,1.36,1.36,1.36,1.36,1.36
2024-09-10,1.36,1.36,1.36,1.37,1.36
2024-09-11,1.40,1.40,1.40,1.40,1.40
2024-09-12,1.41,1.42,1.44,1.45,1.43
2024-09-13,1.50,1.53,1.55,1.56,1.54
2024-09-14,1.56,1.56,1.56,1.55,1.56
2024-09-15,1.51,1.51,1.51,1.51,1.51
2024-09-16,1.52,1.52,1.52,1.52,1.52
2024-09-17,1.54,1.54,1.54,1.54,1.54
2024-09-18,1.39,1.37,1.36,1.35,1.37
2024-09-19,1.30,1.27,1.24,1.22,1.26
2024-09-20,1.11,1.10,1.09,1.08,1.10
2024-09-21,1.02,1.02,1.02,1.02,1.02
2024-09-22,1.02,1.02,1.03,1.03,1.03
2024-09-23,1.03,1.03,1.04,1.04,1.04
2024-09-24,1.05,1.07,1.10,1.12,1.09
2024-09-25,1.12,1.22,1.22,1.22,1.20
2024-09-26,1.16,1.14,1.08,1.02,1.10
2024-09-27,1.03,1.03,1.04,1.05,1.04
2024-09-28,1.20,1.24,1.27,1.30,1.25
2024-09-29,1.30,1.37,1.41,1.44,1.38
2024-09-30,1.54,1.54,1.55,1.56,1.55
