Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2022-03-01,3.30,3.33,3.35,3.38,3.34
2022-03-02,3.46,3.50,3.55,3.59,3.53
2022-03-03,3.71,3.75,3.81,3.86,3.78
2022-03-04,3.91,3.97,4.07,4.12,4.02
2022-03-05,4.47,4.57,4.66,4.77,4.62
2022-03-06,5.11,5.20,5.25,5.31,5.22
2022-03-07,5.40,5.44,5.47,5.50,5.45
2022-03-08,5.56,5.60,5.63,5.65,5.61
2022-03-09,5.67,5.70,5.72,5.74,5.71
2022-03-10,5.75,5.76,5.77,5.79,5.77
2022-03-11,5.85,5.85,5.85,5.85,5.85
2022-03-12,5.87,5.87,5.87,5.88,5.87
2022-03-13,5.89,5.89,5.89,5.89,5.89
2022-03-14,6.03,6.03,6.05,6.07,6.05
2022-03-15,6.12,6.12,6.14,6.14,6.13
2022-03-16,6.12,6.12,6.12,6.11,6.12
2022-03-17,6.09,6.09,6.08,6.07,6.08
2022-03-18,6.05,6.05,6.04,6.03,6.04
2022-03-19,6.05,6.05,6.07,6.08,6.06
2022-03-20,6.11,6.13,6.15,6.17,6.14
2022-03-21,6.23,6.25,6.26,6.29,6.26
2022-03-22,6.33,6.34,6.36,6.37,6.35
2022-03-23,6.42,6.43,6.45,6.47,6.44
2022-03-24,6.49,6.49,6.50,6.52,6.50
2022-03-25,6.52,6.52,6.53,6.53,6.53
2022-03-26,6.55,6.55,6.56,6.57,6.56
2022-03-27,6.65,6.65,6.67,6.68,6.66
2022-03-28,6.68,6.72,6.76,6.80,6.74
2022-03-29,6.92,6.95,6.97,7.00,6.96
2022-03-30,7.02,7.02,7.03,7.04,7.03
2022-03-31,7.08,7.08,7.08,7.09,7.08
