Estación : LA LIBERTAD
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'10.71'',Longitud :,73°14'1.95'',Altitud :,100 msnm.
Tipo :,HLM - Hidrológica,Código :,240112
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-03-01,5.38,5.38,5.38,5.39,5.38
2025-03-02,5.45,5.46,5.48,5.40,5.45
2025-03-03,5.56,5.56,5.58,5.60,5.58
2025-03-04,5.69,5.73,5.86,5.78,5.77
2025-03-05,5.83,5.86,5.88,5.91,5.87
2025-03-06,5.95,5.95,5.97,5.98,5.96
2025-03-07,6.04,6.06,6.09,6.10,6.07
2025-03-08,6.14,6.15,6.18,6.20,6.17
2025-03-09,6.22,6.22
