Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/03/01,00:00,10.53,0.0
2022/03/01,01:00,10.46,0.0
2022/03/01,02:00,10.49,0.0
2022/03/01,03:00,10.46,0.0
2022/03/01,04:00,10.45,0.0
2022/03/01,05:00,10.44,0.0
2022/03/01,06:00,10.49,0.1
2022/03/01,07:00,10.59,0.1
2022/03/01,08:00,10.69,0.4
2022/03/01,09:00,10.83,0.0
2022/03/01,10:00,10.86,0.0
2022/03/01,11:00,10.94,0.1
2022/03/01,12:00,10.91,0.1
2022/03/01,13:00,10.83,0.0
2022/03/01,14:00,10.78,0.0
2022/03/01,15:00,10.57,0.0
2022/03/01,16:00,10.56,0.0
2022/03/01,17:00,10.41,0.0
2022/03/01,18:00,10.35,0.0
2022/03/01,19:00,10.36,0.0
2022/03/01,20:00,10.36,0.0
2022/03/01,21:00,10.48,0.0
2022/03/01,22:00,10.51,0.0
2022/03/01,23:00,10.38,0.0
2022/03/02,00:00,10.35,3.9
2022/03/02,01:00,10.19,5.0
2022/03/02,02:00,10.08,3.1
2022/03/02,03:00,10.09,0.1
2022/03/02,04:00,10.09,0.1
2022/03/02,05:00,9.98,0.0
2022/03/02,06:00,9.89,0.0
2022/03/02,07:00,9.89,0.0
2022/03/02,08:00,9.94,0.0
2022/03/02,09:00,10.10,0.0
2022/03/02,10:00,10.26,0.0
2022/03/02,11:00,10.60,0.0
2022/03/02,12:00,10.90,0.0
2022/03/02,13:00,11.30,0.0
2022/03/02,14:00,11.54,0.0
2022/03/02,15:00,11.68,0.0
2022/03/02,16:00,11.66,0.0
2022/03/02,17:00,11.57,0.0
2022/03/02,18:00,11.49,1.9
2022/03/02,19:00,11.39,0.0
2022/03/02,20:00,11.40,1.5
2022/03/02,21:00,11.29,4.2
2022/03/02,22:00,11.21,6.5
2022/03/02,23:00,11.10,4.3
2022/03/03,00:00,11.01,3.1
2022/03/03,01:00,10.94,0.2
2022/03/03,02:00,10.97,0.2
2022/03/03,03:00,11.05,1.1
2022/03/03,04:00,11.34,0.8
2022/03/03,05:00,11.73,2.4
2022/03/03,06:00,12.26,0.9
2022/03/03,07:00,12.82,2.5
2022/03/03,08:00,13.54,1.8
2022/03/03,09:00,14.22,1.4
2022/03/03,10:00,14.77,0.0
2022/03/03,11:00,15.29,0.0
2022/03/03,12:00,15.68,0.0
2022/03/03,13:00,16.02,0.0
2022/03/03,14:00,16.21,0.0
2022/03/03,15:00,16.36,0.0
2022/03/03,16:00,16.60,0.0
2022/03/03,17:00,16.62,0.0
2022/03/03,18:00,16.46,0.0
2022/03/03,19:00,16.32,0.0
2022/03/03,20:00,16.31,0.0
2022/03/03,21:00,16.15,0.0
2022/03/03,23:00,15.73,0.0
2022/03/04,00:00,15.39,0.0
2022/03/04,01:00,15.06,0.0
2022/03/04,02:00,14.92,0.0
2022/03/04,03:00,14.51,0.0
2022/03/04,04:00,14.22,0.0
2022/03/04,05:00,14.00,0.0
2022/03/04,06:00,13.73,0.0
2022/03/04,07:00,13.46,0.0
2022/03/04,08:00,13.32,0.0
2022/03/04,09:00,13.19,0.0
2022/03/04,10:00,13.13,0.1
2022/03/04,11:00,13.04,0.0
2022/03/04,12:00,13.09,0.0
2022/03/04,13:00,13.04,0.0
2022/03/04,14:00,13.08,0.0
2022/03/04,15:00,13.12,0.0
2022/03/04,16:00,13.15,0.0
2022/03/04,17:00,13.15,0.0
2022/03/04,18:00,13.10,0.0
2022/03/04,19:00,13.00,0.0
2022/03/04,20:00,12.74,0.0
2022/03/04,21:00,12.55,0.0
2022/03/04,22:00,12.41,0.0
2022/03/04,23:00,12.37,0.0
2022/03/05,00:00,12.56,0.0
2022/03/05,01:00,12.61,0.0
2022/03/05,02:00,12.63,0.0
2022/03/05,03:00,12.74,0.0
2022/03/05,04:00,12.85,0.0
2022/03/05,05:00,12.90,0.0
2022/03/05,06:00,12.96,0.0
2022/03/05,07:00,12.93,0.0
2022/03/05,08:00,13.03,0.0
2022/03/05,09:00,13.21,0.0
2022/03/05,10:00,13.27,0.0
2022/03/05,11:00,13.16,0.0
2022/03/05,12:00,13.06,0.0
2022/03/05,13:00,13.00,0.0
2022/03/05,14:00,12.85,0.0
2022/03/05,15:00,12.73,0.0
2022/03/05,16:00,12.59,0.0
2022/03/05,17:00,12.43,0.0
2022/03/05,18:00,12.23,0.0
2022/03/05,19:00,12.09,0.0
2022/03/05,20:00,11.98,0.0
2022/03/05,21:00,11.86,0.0
2022/03/05,22:00,11.78,0.0
2022/03/05,23:00,11.84,0.0
2022/03/06,00:00,11.83,0.0
2022/03/06,01:00,11.85,0.0
2022/03/06,02:00,11.82,0.0
2022/03/06,03:00,11.65,0.0
2022/03/06,04:00,11.68,0.0
2022/03/06,05:00,11.71
