Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/10/01,00:00,3.50,0.0
2024/10/01,01:00,3.51,0.0
2024/10/01,02:00,3.54,0.0
2024/10/01,03:00,3.55,0.0
2024/10/01,04:00,3.55,0.0
2024/10/01,05:00,3.56,0.0
2024/10/01,06:00,3.57,0.1
2024/10/01,07:00,3.61,0.0
2024/10/01,08:00,3.67,0.0
2024/10/01,09:00,3.74,0.1
2024/10/01,10:00,3.80,0.0
2024/10/01,11:00,3.80,0.0
2024/10/01,12:00,3.81,0.0
2024/10/01,13:00,3.80,0.0
2024/10/01,14:00,3.82,0.0
2024/10/01,15:00,3.84,0.0
2024/10/01,16:00,3.82,0.0
2024/10/01,17:00,3.87,0.0
2024/10/01,18:00,4.01,0.0
2024/10/01,19:00,4.26,0.0
2024/10/01,20:00,4.83,0.0
2024/10/01,21:00,5.07,0.0
2024/10/01,22:00,5.11,0.0
2024/10/01,23:00,5.05,0.0
2024/10/02,00:00,4.90,0.0
2024/10/02,01:00,4.83,0.0
2024/10/02,02:00,4.70,0.0
2024/10/02,03:00,4.60,0.0
2024/10/02,04:00,4.52,0.0
2024/10/02,05:00,4.42,0.0
2024/10/02,06:00,4.34,0.0
2024/10/02,07:00,4.28,0.0
2024/10/02,08:00,4.19,0.0
2024/10/02,09:00,4.16,0.0
2024/10/02,10:00,4.10,0.0
2024/10/02,11:00,4.06,0.0
2024/10/02,12:00,4.01,0.0
2024/10/02,13:00,3.98,0.0
2024/10/02,14:00,3.95,0.3
2024/10/02,15:00,3.89,0.0
2024/10/02,16:00,3.87,0.0
2024/10/02,17:00,3.83,1.7
2024/10/02,18:00,3.79,0.0
2024/10/02,19:00,3.78,0.0
2024/10/02,20:00,3.76,0.0
2024/10/02,21:00,3.75,0.0
2024/10/02,22:00,3.74,0.0
2024/10/02,23:00,3.71,0.0
2024/10/03,00:00,3.70,0.0
2024/10/03,01:00,3.70,0.0
2024/10/03,02:00,3.67,0.4
2024/10/03,03:00,3.68,0.5
2024/10/03,04:00,3.67,0.1
2024/10/03,05:00,3.64,0.0
2024/10/03,06:00,3.64,0.1
2024/10/03,07:00,3.63,1.0
2024/10/03,08:00,3.63,0.4
2024/10/03,09:00,3.62,0.3
2024/10/03,10:00,3.62,0.0
2024/10/03,11:00,3.62,0.0
2024/10/03,12:00,3.60,0.0
2024/10/03,13:00,3.62,0.0
2024/10/03,14:00,3.63,0.0
2024/10/03,15:00,3.65,0.0
2024/10/03,16:00,3.64,0.0
2024/10/03,17:00,3.64,0.0
2024/10/03,18:00,3.63,0.0
2024/10/03,19:00,3.63,0.0
2024/10/03,20:00,3.85,0.0
2024/10/03,21:00,4.10,0.0
2024/10/03,22:00,4.14,0.0
2024/10/03,23:00,4.08,0.0
2024/10/04,00:00,4.04,0.0
2024/10/04,01:00,4.00,0.0
2024/10/04,02:00,3.99,0.0
2024/10/04,03:00,3.96,0.0
2024/10/04,04:00,3.90,0.0
2024/10/04,05:00,3.88,0.0
2024/10/04,06:00,3.84,0.0
2024/10/04,07:00,3.80,0.0
2024/10/04,08:00,3.76,0.2
2024/10/04,09:00,3.75,0.0
2024/10/04,10:00,3.73,0.0
2024/10/04,11:00,3.72,0.0
2024/10/04,12:00,3.71,0.0
2024/10/04,13:00,3.70,0.0
2024/10/04,14:00,3.70,0.0
2024/10/04,15:00,3.72
