Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/09/01,00:00,3.31,0.0
2024/09/01,01:00,3.31,0.0
2024/09/01,02:00,3.34,0.0
2024/09/01,03:00,3.32,0.0
2024/09/01,04:00,3.33,0.0
2024/09/01,05:00,3.32,0.0
2024/09/01,06:00,3.33,0.0
2024/09/01,07:00,3.33,0.0
2024/09/01,08:00,3.33,0.0
2024/09/01,09:00,3.34,0.0
2024/09/01,10:00,3.32,0.0
2024/09/01,11:00,3.32,0.0
2024/09/01,12:00,3.32,0.0
2024/09/01,13:00,3.31,0.0
2024/09/01,14:00,3.31,0.0
2024/09/01,15:00,3.30,0.0
2024/09/01,16:00,3.30,0.0
2024/09/01,17:00,3.29,0.0
2024/09/01,18:00,3.28,0.3
2024/09/01,19:00,3.28,0.2
2024/09/01,20:00,3.28,0.0
2024/09/01,21:00,3.27,0.0
2024/09/01,22:00,3.28,0.0
2024/09/01,23:00,3.28,0.0
2024/09/02,00:00,3.28,0.0
2024/09/02,01:00,3.29,0.0
2024/09/02,02:00,3.30,0.0
2024/09/02,03:00,3.29,0.0
2024/09/02,04:00,3.30,0.0
2024/09/02,05:00,3.31,0.0
2024/09/02,06:00,3.32,0.0
2024/09/02,07:00,3.31,0.0
2024/09/02,08:00,3.31,0.1
2024/09/02,09:00,3.33,0.0
2024/09/02,10:00,3.32,0.0
2024/09/02,11:00,3.33,0.0
2024/09/02,12:00,3.33,0.0
2024/09/02,13:00,3.33,0.0
2024/09/02,14:00,3.32,0.0
2024/09/02,15:00,3.32,0.0
2024/09/02,16:00,3.35,0.0
2024/09/02,17:00,3.35,0.0
2024/09/02,18:00,3.36,0.0
2024/09/02,19:00,3.35,0.0
2024/09/02,20:00,3.35,0.3
2024/09/02,21:00,3.36,1.1
2024/09/02,22:00,3.35,0.0
2024/09/02,23:00,3.34,0.0
2024/09/03,00:00,3.35,0.0
2024/09/03,01:00,3.36,0.0
2024/09/03,02:00,3.36,0.1
2024/09/03,03:00,3.37,0.0
2024/09/03,04:00,3.36,0.0
2024/09/03,05:00,3.38,0.0
2024/09/03,06:00,3.37,0.0
2024/09/03,07:00,3.36,0.1
2024/09/03,08:00,3.35,0.0
2024/09/03,09:00,3.34,0.2
2024/09/03,10:00,3.35,0.0
2024/09/03,11:00,3.35,0.0
2024/09/03,12:00,3.33,0.0
2024/09/03,13:00,3.32,0.0
2024/09/03,14:00,3.32,0.0
2024/09/03,15:00,3.34,0.0
2024/09/03,16:00,3.31,0.0
2024/09/03,17:00,3.30,0.0
2024/09/03,18:00,3.28,0.0
2024/09/03,19:00,3.28,0.0
2024/09/03,20:00,3.28,0.0
2024/09/03,21:00,3.27,0.0
2024/09/03,22:00,3.28,0.0
2024/09/03,23:00,3.29,0.0
2024/09/04,00:00,3.29,0.0
2024/09/04,01:00,3.32,0.0
2024/09/04,02:00,3.32,0.0
2024/09/04,03:00,3.31,0.0
2024/09/04,04:00,3.32,0.0
2024/09/04,05:00,3.33,0.0
2024/09/04,06:00,3.31,0.1
2024/09/04,07:00,3.32,0.0
2024/09/04,08:00,3.33,0.0
2024/09/04,09:00,3.34,0.0
2024/09/04,10:00,3.32,0.0
2024/09/04,11:00,3.32,0.0
2024/09/04,12:00,3.32,0.0
2024/09/04,13:00,3.31,0.0
2024/09/04,14:00,3.30,0.0
2024/09/04,15:00,3.29,0.0
2024/09/04,16:00,3.28,0.0
2024/09/04,17:00,3.29,0.0
2024/09/04,18:00,3.26,0.0
2024/09/04,19:00,3.27,0.0
2024/09/04,20:00,3.27,0.0
2024/09/04,21:00,3.25,0.0
2024/09/04,22:00,3.26,0.0
2024/09/04,23:00,3.26,0.0
2024/09/05,00:00,3.28,0.0
2024/09/05,01:00,3.28,0.0
