Estación : PUENTE SALINAS AMOJAO
Departamento :,AMAZONAS,Provincia :,BAGUA,Distrito :,ARAMANGO
Latitud :,5°27'3.46'',Longitud :,78°29'21.84'',Altitud :,381 msnm.
Tipo :,EHA - Hidrológica,Código :,472B55E0
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/05/01,00:00,9.01,0.0
2022/05/01,01:00,9.10,0.0
2022/05/01,02:00,9.17,0.0
2022/05/01,03:00,9.34,0.0
2022/05/01,04:00,9.38,0.0
2022/05/01,05:00,9.42,0.0
2022/05/01,06:00,9.53,0.1
2022/05/01,07:00,9.65,0.0
2022/05/01,08:00,9.72,0.0
2022/05/01,09:00,9.72,0.0
2022/05/01,10:00,9.64,0.0
2022/05/01,11:00,9.49,0.0
2022/05/01,12:00,9.28,0.0
2022/05/01,13:00,9.02,0.0
2022/05/01,14:00,8.80,0.0
2022/05/01,15:00,8.63,0.0
2022/05/01,16:00,8.49,0.0
2022/05/01,17:00,8.47,0.0
2022/05/01,18:00,8.34,0.1
2022/05/01,19:00,8.26,0.0
2022/05/01,20:00,8.16,0.2
2022/05/01,21:00,8.07,0.0
2022/05/01,22:00,8.06,0.0
2022/05/01,23:00,7.93,0.0
2022/05/02,00:00,7.90,0.0
2022/05/02,01:00,7.85,0.0
2022/05/02,02:00,7.77,0.0
2022/05/02,03:00,7.72,0.0
2022/05/02,04:00,7.65,0.0
2022/05/02,05:00,7.64,0.0
2022/05/02,06:00,7.64,0.1
2022/05/02,07:00,7.59,0.0
2022/05/02,08:00,7.56,0.0
2022/05/02,09:00,7.56,0.0
2022/05/02,10:00,7.50,0.0
2022/05/02,11:00,7.46,0.0
2022/05/02,12:00,7.44,0.0
2022/05/02,13:00,7.42,0.0
2022/05/02,14:00,7.41,0.0
2022/05/02,15:00,7.37,0.0
2022/05/02,16:00,S/D,0.0
2022/05/02,17:00,7.30,0.0
2022/05/02,18:00,7.27,0.0
2022/05/02,19:00,7.26,0.0
2022/05/02,20:00,7.22,0.0
2022/05/02,21:00,7.21,0.0
2022/05/02,22:00,7.16,0.0
2022/05/02,23:00,7.15,0.0
2022/05/03,00:00,7.18,0.0
2022/05/03,01:00,7.14,0.0
2022/05/03,02:00,7.14,0.0
2022/05/03,03:00,7.11,0.0
2022/05/03,04:00,7.09,0.0
2022/05/03,05:00,7.06,0.0
2022/05/03,06:00,7.07,3.5
2022/05/03,07:00,7.05,1.3
2022/05/03,08:00,7.05,0.0
2022/05/03,09:00,7.05,0.1
2022/05/03,10:00,7.06,0.0
2022/05/03,11:00,7.02,0.1
2022/05/03,12:00,7.04,0.0
2022/05/03,13:00,6.99,0.0
2022/05/03,14:00,6.97,0.0
2022/05/03,15:00,6.98,0.0
2022/05/03,16:00,6.96,0.7
2022/05/03,17:00,6.97,0.3
2022/05/03,18:00,6.96,0.0
2022/05/03,19:00,6.94,0.0
2022/05/03,20:00,6.93,0.0
2022/05/03,21:00,6.89,0.0
2022/05/03,22:00,6.92,0.0
2022/05/03,23:00,6.87,0.0
2022/05/04,00:00,6.88,0.0
2022/05/04,01:00,6.84,0.0
2022/05/04,02:00,6.86,0.0
2022/05/04,03:00,6.86,0.0
2022/05/04,04:00,6.84,0.0
2022/05/04,05:00,6.82,0.0
2022/05/04,06:00,6.83,0.0
2022/05/04,07:00,6.80,0.0
2022/05/04,08:00,6.82,0.2
2022/05/04,09:00,6.85,0.0
2022/05/04,10:00,6.82,0.0
2022/05/04,11:00,6.82,0.0
2022/05/04,12:00,6.83,0.0
2022/05/04,13:00,6.80,0.0
2022/05/04,14:00,6.83,0.0
2022/05/04,15:00,6.79,0.0
2022/05/04,16:00,6.87,0.0
2022/05/04,17:00,6.80,0.0
2022/05/04,18:00,6.79,0.0
2022/05/04,19:00,6.77,0.1
2022/05/04,20:00,6.73,0.0
2022/05/04,21:00,6.78,0.0
2022/05/04,22:00,6.77,0.0
2022/05/04,23:00,6.73,0.0
2022/05/05,00:00,6.79,0.0
2022/05/05,01:00,6.82,0.0
2022/05/05,02:00,6.94,0.0
2022/05/05,03:00,7.22,0.6
2022/05/05,04:00,7.34,0.8
2022/05/05,05:00,7.48,0.1
2022/05/05,06:00,7.66,0.0
2022/05/05,07:00,7.71,0.0
2022/05/05,08:00,7.82,0.0
