Estación : CACHUELA
Departamento :,MADRE DE DIOS,Provincia :,TAMBOPATA,Distrito :,TAMBOPATA
Latitud :,12°36'15.92'',Longitud :,69°10'58.94'',Altitud :,195 msnm.
Tipo :,EHMA - Hidrológica,Código :,260403
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2026/01/01,00:00,S/D,0.0
2026/01/01,01:00,S/D,0.0
2026/01/01,02:00,S/D,0.0
2026/01/01,03:00,1.14,5.0
2026/01/01,04:00,S/D,1.4
2026/01/01,05:00,S/D,0.9
2026/01/01,06:00,S/D,0.2
2026/01/01,07:00,S/D,0.6
2026/01/01,08:00,S/D,0.0
2026/01/01,09:00,S/D,0.0
2026/01/01,10:00,S/D,0.0
2026/01/01,11:00,S/D,0.0
2026/01/01,12:00,S/D,0.0
2026/01/01,13:00,S/D,0.0
2026/01/01,14:00,S/D,0.0
2026/01/01,15:00,S/D,0.0
2026/01/01,16:00,S/D,0.0
2026/01/01,17:00,S/D,0.2
2026/01/01,18:00,S/D,0.0
2026/01/01,19:00,S/D,0.0
2026/01/01,20:00,S/D,0.0
2026/01/01,21:00,S/D,0.0
2026/01/01,22:00,S/D,0.0
2026/01/01,23:00,S/D,0.0
2026/01/02,00:00,S/D,0.0
2026/01/02,01:00,S/D,0.2
2026/01/02,02:00,S/D,0.9
2026/01/02,03:00,S/D,0.4
2026/01/02,04:00,S/D,0.0
2026/01/02,05:00,S/D,0.0
2026/01/02,06:00,S/D,0.0
2026/01/02,07:00,S/D,0.0
2026/01/02,08:00,S/D,0.0
2026/01/02,09:00,S/D,0.0
2026/01/02,10:00,S/D,0.0
2026/01/02,11:00,S/D,0.0
2026/01/02,12:00,S/D,0.0
2026/01/02,13:00,S/D,0.0
2026/01/02,14:00,S/D,0.0
2026/01/02,15:00,S/D,0.2
2026/01/02,16:00,S/D,0.0
2026/01/02,17:00,S/D,0.0
2026/01/02,18:00,S/D,0.0
2026/01/02,19:00,S/D,0.0
2026/01/02,20:00,S/D,0.0
2026/01/02,21:00,S/D,0.0
