Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTO TOMAS PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-06-01,18.73,18.73,18.73,18.73,18.73
2025-06-02,18.72,18.72,18.70,18.68,18.71
2025-06-03,18.58,18.58,18.57,18.57,18.58
2025-06-04,18.54,18.54,18.53,18.52,18.53
2025-06-05,18.50,18.50,18.50,18.50,18.50
2025-06-06,18.47,18.47,18.46,18.46,18.47
2025-06-07,18.45,18.45,18.52,18.45,18.47
2025-06-08,18.42,18.42,18.42,18.42,18.42
2025-06-09,18.39,18.36,18.38,18.38,18.38
2025-06-10,18.38,18.38,18.36,18.35,18.37
2025-06-11,18.20,18.20,18.19,18.19,18.20
2025-06-12,18.16,18.16,18.16,18.16,18.16
2025-06-13,18.14,18.14,18.14,18.14,18.14
2025-06-14,18.13,18.13,18.10,18.09,18.11
2025-06-15,18.00,18.00,17.99,17.98,17.99
2025-06-16,17.90,17.90,17.90,17.89,17.90
2025-06-17,17.85,17.82,17.80,17.78,17.81
2025-06-18,17.70,17.70,17.68,17.67,17.69
2025-06-19,17.60,17.60,17.59,17.58,17.59
2025-06-20,17.36,17.56,17.54,17.53,17.50
2025-06-21,17.49,17.49,17.49,17.49,17.49
2025-06-22,17.48,17.48,17.48,17.48,17.48
2025-06-23,17.45,17.45,17.44,17.43,17.44
2025-06-24,17.40,17.39,17.37,17.36,17.38
2025-06-25,17.28,17.28,17.27,17.25,17.27
2025-06-26,17.20,17.20,17.20,17.20,17.20
2025-06-27,17.15,17.15,17.15,17.15,17.15
2025-06-28,17.15,17.15,17.15,17.15,17.15
2025-06-29,17.13,17.13,17.13,17.13,17.13
2025-06-30,17.10,17.10,17.08,17.08,17.09
