Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTO TOMAS PUNCHANA
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,PUNCHANA
Latitud :,3°41'34.04'',Longitud :,73°15'22.49'',Altitud :,86 msnm.
Tipo :,HLM - Hidrológica,Código :,240304
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-01-01,14.30,14.32,14.34,14.36,14.33
2021-01-02,14.36,14.36,14.38,14.38,14.37
2021-01-03,14.40,14.40,14.42,14.42,14.41
2021-01-04,14.44,14.44,14.46,14.46,14.45
2021-01-05,14.48,14.52,14.56,14.60,14.54
2021-01-06,14.66,14.70,14.74,14.70,14.70
2021-01-07,14.85,14.88,14.92,14.96,14.90
2021-01-08,15.06,15.08,15.10,15.12,15.09
2021-01-09,15.18,15.18,15.20,15.20,15.19
2021-01-10,15.24,15.24,15.26,15.26,15.25
2021-01-11,15.30,15.30,15.32,15.32,15.31
2021-01-12,15.36,15.36,15.38,15.38,15.37
2021-01-13,15.42,15.42,15.44,15.44,15.43
2021-01-14,15.46,15.46,15.48,15.48,15.47
2021-01-15,15.50,15.50,15.50,15.50,15.50
2021-01-16,15.50,15.50,15.50,15.50,15.50
2021-01-17,15.52,15.52,15.52,15.52,15.52
2021-01-18,15.52,15.52,15.50,15.50,15.51
2021-01-19,15.50,15.50,15.50,15.50,15.50
2021-01-20,15.48,15.46,15.46,15.44,15.46
2021-01-21,15.42,15.42,15.42,15.42,15.42
2021-01-22,15.40,15.40,15.40,15.38,15.40
2021-01-23,15.38,15.38,15.38,15.38,15.38
2021-01-24,15.38,15.38,15.38,15.38,15.38
2021-01-25,15.38,15.40,15.42,15.44,15.41
2021-01-26,15.46,15.46,15.48,15.48,15.47
2021-01-27,15.50,15.52,15.52,15.54,15.52
2021-01-28,15.56,15.58,15.58,15.60,15.58
2021-01-29,15.62,15.64,15.64,15.66,15.64
2021-01-30,15.68,15.70,15.70,15.72,15.70
2021-01-31,15.74,15.76,15.76,15.78,15.76
