Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PEBAS
Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,PEBAS
Latitud :,3°19'7.57'',Longitud :,71°51'31.78'',Altitud :,102 msnm.
Tipo :,CO - Meteorológica,Código :,103054
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-12-01,35,23.6,76.0,0.0
2024-12-02,35.2,23.8,75.1,S/D
2024-12-03,35.2,S/D,S/D,0.9
2024-12-04,29.8,24.4,89.8,9.4
2024-12-05,34,23.8,82.9,48.5
2024-12-06,31.6,23.8,84.1,16.2
2024-12-07,32.4,22.6,84.7,S/D
2024-12-08,27.2,S/D,S/D,48.5
2024-12-09,32,22.8,82.1,30.5
2024-12-10,27.6,23.2,86.8,S/D
2024-12-11,33.2,S/D,S/D,0.0
2024-12-12,35,24.2,76.5,6.0
2024-12-13,32.6,23.8,81.0,5.4
2024-12-14,34,23,79.5,0.0
2024-12-15,30,24.4,87.4,15.4
2024-12-16,31.2,23.8,88.3,74.1
2024-12-17,28.8,23,84.2,10.8
2024-12-18,32,22.8,84.6,0.0
2024-12-19,30,22.6,90.0,17.9
2024-12-20,33.4,22.4,82.4,10.4
2024-12-21,34.2,23.8,79.7,0.7
2024-12-22,25.6,24.8,91.0,66.1
2024-12-23,S/D,23.6,S/D,S/D
2024-12-24,32,22.4,80.3,15.3
2024-12-25,31.8,23.8,84.1,21.6
2024-12-26,32.6,23,86.0,86.1
2024-12-27,31,23.2,83.1,2.7
2024-12-28,28.4,23.8,S/D,0.0
2024-12-29,30.6,23.6,82.7,0.0
2024-12-30,31.8,23.4,83.5,1.7
2024-12-31,32.4,24.2,88.1,42.4
2025-01-01,30.4,23.4,81.6,S/D
