Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-02-01,10.90,10.90,10.91,10.91,10.91
2021-02-02,10.93,10.93,10.94,10.94,10.94
2021-02-03,10.95,10.95,10.96,10.96,10.96
2021-02-04,10.97,10.97,10.97,10.97,10.97
2021-02-05,10.97,10.97,10.97,10.97,10.97
2021-02-06,10.97,10.97,10.97,10.98,10.97
2021-02-07,10.99,10.99,10.99,10.99,10.99
2021-02-08,11.02,11.02,11.02,11.02,11.02
2021-02-09,11.02,11.02,11.02,11.02,11.02
2021-02-10,11.02,11.03,11.03,11.03,11.03
2021-02-11,11.04,11.05,11.06,11.07,11.06
2021-02-12,11.09,11.09,11.10,11.10,11.10
2021-02-13,11.11,11.11,11.12,11.12,11.12
2021-02-14,11.13,11.13,11.14,11.14,11.14
2021-02-15,11.15,11.15,11.16,11.16,11.16
2021-02-16,11.17,11.17,11.17,11.17,11.17
2021-02-17,11.17,11.17,11.17,11.17,11.17
2021-02-18,11.17,11.17,11.17,11.17,11.17
2021-02-19,11.17,11.17,11.16,11.15,11.16
2021-02-20,11.14,11.13,11.12,11.12,11.13
2021-02-21,11.11,11.11,11.10,11.05,11.09
2021-02-22,11.02,11.02,11.10,11.10,11.06
2021-02-23,11.06,11.06,11.06,11.05,11.06
2021-02-24,11.04,11.04,11.04,11.04,11.04
2021-02-25,11.04,11.03,11.03,11.02,11.03
2021-02-26,11.01,11.01,11.01,11.00,11.01
2021-02-27,11.05,11.06,11.06,11.02,11.05
2021-02-28,11.10,11.10,11.11,11.13,11.11
