Estación : REQUENA
Departamento :,LORETO,Provincia :,REQUENA,Distrito :,REQUENA
Latitud :,5°2'28.12'',Longitud :,73°50'24.05'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,250101
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-03-01,11.18,11.19,11.20,11.21,11.20
2021-03-02,11.24,11.25,11.26,11.26,11.25
2021-03-03,11.27,11.28,11.29,11.30,11.29
2021-03-04,11.33,11.33,11.34,11.34,11.34
2021-03-05,11.36,11.36,11.36,11.36,11.36
2021-03-06,11.40,11.41,11.42,11.43,11.42
2021-03-07,11.60,11.47,11.48,11.49,11.51
2021-03-08,11.51,11.52,11.53,11.53,11.52
2021-03-09,11.54,11.54,11.54,11.54,11.54
2021-03-10,11.54,11.54,11.55,11.55,11.55
2021-03-11,11.56,11.56,11.56,11.56,11.56
2021-03-12,11.56,11.56,11.56,11.56,11.56
2021-03-13,11.56,11.56,11.56,11.56,11.56
2021-03-14,11.56,11.56,11.56,11.56,11.56
2021-03-15,11.58,11.58,11.58,11.58,11.58
2021-03-16,11.58,11.58,11.58,11.58,11.58
2021-03-17,11.58,11.58,11.59,11.59,11.59
2021-03-18,11.60,11.62,11.64,11.64,11.63
2021-03-19,11.66,11.66,11.68,11.68,11.67
2021-03-20,11.68,11.68,11.69,11.69,11.69
