Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-10-01,6.45,6.43,6.40,6.38,6.42
2020-10-02,6.32,6.32,6.33,6.34,6.33
2020-10-03,6.44,6.49,6.53,6.56,6.51
2020-10-04,6.69,6.72,6.75,6.79,6.74
2020-10-05,6.84,6.85,6.85,6.85,6.85
2020-10-06,6.82,6.80,6.77,6.74,6.78
2020-10-07,6.69,6.66,6.66,6.66,6.67
2020-10-08,6.62,6.61,6.61,6.60,6.61
2020-10-09,6.55,6.53,6.51,6.49,6.52
2020-10-10,6.38,6.35,6.30,6.21,6.31
2020-10-11,6.12,6.10,6.05,6.04,6.08
2020-10-12,5.95,5.94,5.92,5.90,5.93
2020-10-13,5.80,5.75,5.71,5.49,5.69
2020-10-14,5.49,5.47,5.37,5.32,5.41
2020-10-15,5.12,5.06,4.99,4.94,5.03
2020-10-16,4.76,4.69,4.62,4.53,4.65
2020-10-17,4.36,4.31,4.28,4.26,4.30
2020-10-18,4.16,4.14,4.13,4.12,4.14
2020-10-19,4.11,4.11,4.13,4.13,4.12
2020-10-20,4.18,4.21,4.27,4.27,4.23
2020-10-21,4.39,4.45,4.50,4.56,4.48
2020-10-22,4.73,4.77,4.82,4.84,4.79
2020-10-23,4.96,4.96,4.96,4.96,4.96
2020-10-24,4.98,5.02,5.05,5.10,5.04
2020-10-25,5.37,5.48,5.60,5.70,5.54
2020-10-26,6.05,6.16,6.25,6.36,6.21
2020-10-27,6.47,6.50,6.52,6.52,6.50
2020-10-28,6.50,6.48,6.46,6.44,6.47
2020-10-29,6.34,6.30,6.26,6.22,6.28
2020-10-30,6.10,6.06,6.01,5.96,6.03
2020-10-31,5.80,5.76,5.72,5.67,5.74
