Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-10-01,4.10,4.07,4.04,4.03,4.06
2023-10-02,3.96,3.94,3.90,3.87,3.92
2023-10-03,3.83,3.82,3.81,3.83,3.82
2023-10-04,3.89,3.94,4.02,4.05,3.98
2023-10-05,4.29,4.35,4.42,4.49,4.39
2023-10-06,4.57,4.59,4.61,4.62,4.60
2023-10-07,4.60,4.60,4.58,4.56,4.59
2023-10-08,4.49,4.46,4.44,4.42,4.45
2023-10-09,4.36,4.34,4.32,4.30,4.33
2023-10-10,4.26,4.24,4.22,4.20,4.23
2023-10-11,4.12,4.10,4.08,4.05,4.09
2023-10-12,4.02,4.02,4.02,4.05,4.03
2023-10-13,4.12,4.15,4.20,4.25,4.18
2023-10-14,4.38,4.45,4.50,4.56,4.47
2023-10-15,4.80,4.88,4.96,5.01,4.91
2023-10-16,5.14,5.18,5.18,5.19,5.17
2023-10-17,5.19,5.21,5.22,5.25,5.22
2023-10-18,5.47,5.58,5.69,5.80,5.64
2023-10-19,6.05,6.10,6.11,6.12,6.10
2023-10-20,6.10,6.07,6.05,6.01,6.06
2023-10-21,5.87,5.84,5.80,5.77,5.82
2023-10-22,5.68,5.67,5.66,5.65,5.67
2023-10-23,5.64,5.65,5.66,5.67,5.66
2023-10-24,5.72,5.73,5.73,5.73,5.73
2023-10-25,5.73,5.72,5.70,5.70,5.71
2023-10-26,5.68,5.67,5.67,5.63,5.66
2023-10-27,5.63,5.62,5.59,5.58,5.61
2023-10-28,5.50,5.48,5.46,5.44,5.47
2023-10-29,5.42,5.26,5.24,5.22,5.29
2023-10-30,5.08,5.06,5.02,4.97,5.03
2023-10-31,4.89,4.87,4.86,4.84,4.87
