Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-09-01,6.83,6.81,6.79,6.77,6.80
2025-09-02,6.60,6.55,6.49,6.44,6.52
2025-09-03,6.27,6.21,6.16,6.10,6.19
2025-09-04,5.96,5.90,5.86,5.80,5.88
2025-09-05,5.68,5.65,5.60,5.57,5.63
2025-09-06,5.54,5.55,5.56,5.60,5.56
2025-09-07,5.69,5.72,5.75,5.79,5.74
2025-09-08,5.82,5.82,5.82,5.82,5.82
2025-09-09,5.81,5.81,5.81,5.82,5.81
2025-09-10,5.88,5.90,5.94,5.96,5.92
2025-09-11,6.06,6.08,6.10,6.10,6.09
2025-09-12,6.08,6.08,6.07,6.05,6.07
2025-09-13,5.97,5.95,5.94,5.93,5.95
2025-09-14,5.99,6.06,6.12,6.18,6.09
2025-09-15,6.42,6.50,6.56,6.62,6.53
2025-09-16,6.72,6.75,6.76,6.76,6.75
2025-09-17,6.73,6.71,6.69,6.67,6.70
2025-09-18,6.58,6.55,6.51,6.48,6.53
2025-09-19,6.40,6.38,6.35,6.31,6.36
2025-09-20,6.21,6.17,6.13,6.11,6.16
2025-09-21,6.02,5.99,5.97,5.95,5.98
2025-09-22,5.88,5.86,5.83,5.81,5.85
2025-09-23,5.77,5.76,5.76,5.76,5.76
2025-09-24,5.76,5.76,5.76,5.75,5.76
2025-09-25,5.71,5.70,5.69,5.67,5.69
2025-09-26,5.63,5.62,5.61,5.61,5.62
2025-09-27,5.64,5.66,5.68,5.70,5.67
2025-09-28,5.77,5.80,5.84,5.90,5.83
2025-09-29,6.15,6.24,6.35,6.46,6.30
2025-09-30,6.77,6.87,6.96,7.02,6.91
