Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-08-01,7.13,7.14,7.16,7.17,7.15
2023-08-02,7.24,7.27,7.30,7.33,7.29
2023-08-03,7.43,7.46,7.47,7.50,7.47
2023-08-04,7.52,7.50,7.48,7.46,7.49
2023-08-05,7.40,7.37,7.32,7.30,7.35
2023-08-06,7.20,7.16,7.13,7.11,7.15
2023-08-07,7.02,6.97,6.95,6.93,6.97
2023-08-08,6.83,6.80,6.78,6.75,6.79
2023-08-09,6.68,6.65,6.63,6.61,6.64
2023-08-10,6.52,6.51,6.48,6.47,6.50
2023-08-11,6.39,6.37,6.33,6.30,6.35
2023-08-12,6.21,6.17,6.14,6.13,6.16
2023-08-13,6.06,6.04,6.02,6.01,6.03
2023-08-14,5.97,5.97,5.94,5.91,5.95
2023-08-15,5.87,5.83,5.81,5.79,5.83
2023-08-16,5.72,5.69,5.68,5.66,5.69
2023-08-17,5.73,5.81,5.88,5.99,5.85
2023-08-18,6.36,6.48,6.62,6.72,6.55
2023-08-19,7.04,7.13,7.18,7.23,7.15
2023-08-20,7.31,7.31,7.30,7.27,7.30
2023-08-21,7.15,7.12,7.04,6.97,7.07
2023-08-22,6.81,6.71,6.66,6.59,6.69
2023-08-23,6.44,6.46,6.42,6.25,6.39
2023-08-24,6.08,6.02,5.97,5.94,6.00
2023-08-25,5.80,5.77,5.73,5.70,5.75
2023-08-26,5.66,5.65,5.65,5.65,5.65
2023-08-27,5.67,5.67,5.67,5.68,5.67
2023-08-28,5.69,5.69,5.68,5.67,5.68
2023-08-29,5.61,5.57,5.66,5.65,5.62
2023-08-30,5.45,5.42,5.39,5.38,5.41
2023-08-31,5.29,5.26,5.22,5.20,5.24
