Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN REGIS
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-05-01,10.68,10.70,10.72,10.74,10.71
2024-05-02,10.78,10.78,10.78,10.78,10.78
2024-05-03,10.77,10.75,10.74,10.73,10.75
2024-05-04,10.71,10.68,10.67,10.66,10.68
2024-05-05,10.62,10.59,10.59,10.58,10.60
2024-05-06,10.55,10.53,10.52,10.52,10.53
2024-05-07,10.52,10.52,10.52,10.53,10.52
2024-05-08,10.57,10.58,10.59,10.61,10.59
2024-05-09,10.66,10.67,10.68,10.70,10.68
2024-05-10,10.74,10.75,10.76,10.78,10.76
2024-05-11,10.79,10.79,10.80,10.81,10.80
2024-05-12,10.79,10.78,10.77,10.76,10.78
2024-05-13,10.71,10.67,10.65,10.62,10.66
2024-05-14,10.58,10.56,10.53,10.50,10.54
2024-05-15,10.40,10.37,10.35,10.32,10.36
2024-05-16,10.28,10.28,10.26,10.24,10.27
2024-05-17,10.20,10.19,10.17,10.17,10.18
2024-05-18,10.16,10.14,10.12,10.10,10.13
2024-05-19,10.11,10.12,10.13,10.13,10.12
2024-05-20,10.15,10.16,10.17,10.17,10.16
2024-05-21,10.17,10.17,10.17,10.17,10.17
2024-05-22,10.20,10.21,10.23,10.25,10.22
2024-05-23,10.33,10.35,10.39,10.42,10.37
2024-05-24,10.48,10.50,10.53,10.54,10.51
2024-05-25,10.58,10.59,10.59,10.29,10.51
2024-05-26,10.61,10.61,10.61,10.61,10.61
2024-05-27,10.59,10.58,10.57,10.56,10.58
2024-05-28,10.54,10.53,10.53,10.53,10.53
2024-05-29,10.59,10.60,10.61,10.62,10.61
2024-05-30,10.63,10.63,10.63,10.63,10.63
2024-05-31,10.62,10.61,10.61,10.61,10.61
