Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2020/01/01,00:00,1.73,0.0
2020/01/01,01:00,1.70,0.0
2020/01/01,02:00,1.69,0.0
2020/01/01,03:00,1.65,0.0
2020/01/01,04:00,1.63,0.0
2020/01/01,05:00,1.62,0.0
2020/01/01,06:00,1.60,0.0
2020/01/01,07:00,1.59,0.0
2020/01/01,08:00,1.57,0.0
2020/01/01,09:00,1.55,0.0
2020/01/01,10:00,1.55,0.0
2020/01/01,11:00,1.54,0.0
2020/01/01,12:00,1.54,0.0
2020/01/01,13:00,1.53,0.0
2020/01/01,14:00,1.54,0.0
2020/01/01,15:00,1.57,0.0
2020/01/01,16:00,1.59,0.0
2020/01/01,17:00,1.59,0.0
2020/01/01,18:00,1.60,0.0
2020/01/01,19:00,1.57,0.0
2020/01/01,20:00,1.56,0.0
2020/01/01,21:00,1.55,0.0
2020/01/01,22:00,1.54,0.0
2020/01/01,23:00,1.53,0.0
2020/01/02,00:00,1.52,0.0
2020/01/02,01:00,1.51,0.0
2020/01/02,02:00,1.50,0.0
2020/01/02,03:00,1.52,7.9
2020/01/02,04:00,1.55,20.4
2020/01/02,05:00,1.66,11.5
2020/01/02,06:00,1.75,3.8
2020/01/02,07:00,1.72,0.0
2020/01/02,08:00,1.75,0.1
2020/01/02,09:00,1.83,0.7
2020/01/02,10:00,1.96,0.0
2020/01/02,11:00,1.93,0.0
2020/01/02,12:00,1.92,0.0
2020/01/02,13:00,1.91,0.0
2020/01/02,14:00,1.88,0.0
2020/01/02,15:00,1.86,0.0
2020/01/02,16:00,1.82,0.0
2020/01/02,17:00,1.80,0.0
2020/01/02,18:00,1.78,0.0
2020/01/02,19:00,1.77,0.0
2020/01/02,20:00,1.77,0.0
2020/01/02,21:00,1.78,0.0
2020/01/02,22:00,1.78,0.0
2020/01/02,23:00,1.77,0.0
2020/01/03,00:00,1.75,0.0
2020/01/03,01:00,1.74,0.0
2020/01/03,02:00,1.72,0.0
2020/01/03,03:00,1.71,0.0
2020/01/03,04:00,1.69,0.0
2020/01/03,05:00,1.68,0.0
2020/01/03,06:00,1.67,0.0
2020/01/03,07:00,1.65,0.0
2020/01/03,08:00,1.63,0.0
2020/01/03,09:00,1.61,0.0
2020/01/03,10:00,1.60,0.0
2020/01/03,11:00,1.59,0.0
2020/01/03,12:00,1.57,0.0
2020/01/03,13:00,1.56,0.0
2020/01/03,14:00,1.55,0.0
2020/01/03,15:00,1.53,0.0
2020/01/03,16:00,1.52,0.0
2020/01/03,17:00,1.52,0.0
2020/01/03,18:00,1.51,0.0
2020/01/03,19:00,1.50,0.0
2020/01/03,20:00,1.50,0.0
2020/01/03,21:00,1.48,0.0
2020/01/03,22:00,1.48,0.0
2020/01/03,23:00,1.47,0.0
2020/01/04,00:00,1.47,0.0
2020/01/04,01:00,1.46,0.0
2020/01/04,02:00,1.46,0.0
2020/01/04,03:00,1.46,0.0
2020/01/04,04:00,1.45,0.0
2020/01/04,05:00,1.45,0.0
2020/01/04,06:00,1.44,0.0
2020/01/04,07:00,1.44,0.1
2020/01/04,08:00,1.44,0.0
2020/01/04,09:00,1.43,0.0
2020/01/04,10:00,1.43,0.0
2020/01/04,11:00,1.43,0.0
2020/01/04,12:00,1.43,0.0
2020/01/04,13:00,1.43,0.0
2020/01/04,14:00,1.43,0.0
2020/01/04,15:00,1.43,0.0
2020/01/04,16:00,1.42,0.0
2020/01/04,17:00,1.42,0.0
2020/01/04,18:00,1.42,0.0
2020/01/04,19:00,1.41,0.1
2020/01/04,20:00,1.42,0.0
2020/01/04,21:00,1.41,0.0
2020/01/04,22:00,1.41,0.0
2020/01/04,23:00,1.40,0.0
2020/01/05,00:00,1.40,0.0
2020/01/05,01:00,1.39,0.0
2020/01/05,02:00,1.40,0.0
2020/01/05,03:00,1.39,0.0
2020/01/05,04:00,1.39,0.0
2020/01/05,05:00,1.39,0.0
2020/01/05,06:00,1.39,0.0
2020/01/05,07:00,1.39,0.0
2020/01/05,08:00,1.39,0.0
2020/01/05,09:00,1.39,0.0
2020/01/05,10:00,1.38,0.0
2020/01/05,11:00,1.39,0.0
2020/01/05,12:00,1.39,0.0
2020/01/05,13:00,1.39,0.0
2020/01/05,14:00,1.39,0.0
2020/01/05,15:00,1.38,0.0
2020/01/05,16:00,1.38,0.0
2020/01/05,17:00,1.38,0.0
2020/01/05,18:00,1.38,0.0
2020/01/05,19:00,1.38,0.0
2020/01/05,20:00,1.37,0.0
2020/01/05,21:00,1.37,0.0
2020/01/05,22:00,1.37,0.0
2020/01/05,23:00,1.37,0.0
2020/01/06,00:00,1.37,0.0
2020/01/06,01:00,1.36,0.0
2020/01/06,02:00,1.36,0.0
2020/01/06,03:00,1.36,0.0
2020/01/06,04:00,1.36,0.0
2020/01/06,05:00,1.36,0.0
2020/01/06,06:00,1.36,0.0
2020/01/06,07:00,1.36,0.0
2020/01/06,08:00,1.36,0.0
2020/01/06,09:00,1.36,0.0
2020/01/06,10:00,1.35,0.0
2020/01/06,11:00,1.35,0.0
2020/01/06,12:00,1.35,0.0
2020/01/06,13:00,1.34,0.0
2020/01/06,14:00,1.35,0.0
2020/01/06,15:00,1.35,0.0
2020/01/06,16:00,1.34,0.0
2020/01/06,17:00,1.34,0.0
2020/01/06,18:00,1.34,0.0
2020/01/06,19:00,1.34,0.0
2020/01/06,20:00,1.34,0.0
2020/01/06,21:00,1.34,0.0
2020/01/06,22:00,1.34,0.0
2020/01/06,23:00,1.34,0.0
2020/01/07,00:00,1.34,0.0
2020/01/07,01:00,1.34,0.0
2020/01/07,02:00,1.34,0.0
2020/01/07,03:00,1.33,0.0
2020/01/07,04:00,1.33,0.0
2020/01/07,05:00,1.33,0.0
2020/01/07,06:00,1.33,0.0
2020/01/07,07:00,1.33,0.0
2020/01/07,08:00,1.33,0.0
2020/01/07,09:00,1.33,0.0
2020/01/07,10:00,1.34,0.0
2020/01/07,11:00,1.33,0.0
2020/01/07,12:00,1.33,0.0
2020/01/07,13:00,1.33,0.0
2020/01/07,14:00,1.33,0.0
2020/01/07,15:00,1.33,0.0
2020/01/07,16:00,1.33,0.0
2020/01/07,17:00,1.33,0.0
2020/01/07,18:00,1.33,0.0
2020/01/07,19:00,1.33,0.0
2020/01/07,20:00,1.33,0.0
2020/01/07,21:00,1.33,0.0
2020/01/07,22:00,1.33,0.0
2020/01/07,23:00,1.33,0.0
2020/01/08,00:00,1.34,0.0
2020/01/08,01:00,1.33,0.0
2020/01/08,02:00,1.34,0.0
2020/01/08,03:00,1.34,0.0
2020/01/08,04:00,1.34,0.0
2020/01/08,05:00,1.34,0.0
2020/01/08,06:00,1.34,0.0
2020/01/08,07:00,1.35,0.0
2020/01/08,08:00,1.35,0.0
2020/01/08,09:00,1.35,0.0
2020/01/08,10:00,1.35,0.0
2020/01/08,11:00,1.34,0.9
2020/01/08,12:00,1.34,0.9
2020/01/08,13:00,1.34,2.2
2020/01/08,14:00,1.34,0.0
2020/01/08,15:00,1.34,0.0
2020/01/08,16:00,1.34,0.0
2020/01/08,17:00,1.34,0.0
2020/01/08,18:00,1.34,0.0
2020/01/08,19:00,1.34,0.0
2020/01/08,20:00,1.35,0.0
2020/01/08,21:00,1.35,0.0
2020/01/08,22:00,1.35,0.0
2020/01/08,23:00,1.34,0.0
2020/01/09,00:00,1.34,0.0
2020/01/09,01:00,1.34,0.0
