Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2024/09/01,00:00,0.78,0.0
2024/09/01,01:00,0.77,0.0
2024/09/01,02:00,0.77,0.0
2024/09/01,03:00,0.76,0.0
2024/09/01,04:00,0.76,0.0
2024/09/01,05:00,0.76,0.0
2024/09/01,06:00,0.77,0.0
2024/09/01,07:00,0.78,0.0
2024/09/01,08:00,0.78,0.0
2024/09/01,09:00,0.78,0.0
2024/09/01,10:00,0.78,0.0
2024/09/01,11:00,0.77,0.0
2024/09/01,12:00,0.76,0.0
2024/09/01,14:00,0.73,0.0
2024/09/01,15:00,0.72,0.0
2024/09/01,16:00,0.72,0.0
2024/09/01,17:00,0.72,0.0
2024/09/01,18:00,0.73,0.0
2024/09/01,19:00,0.74,0.0
2024/09/01,20:00,0.75,0.0
2024/09/01,21:00,0.76,0.0
2024/09/01,22:00,0.76,0.1
2024/09/01,23:00,0.77,0.0
2024/09/02,00:00,0.78,0.0
2024/09/02,01:00,0.77,0.0
2024/09/02,02:00,0.77,0.0
2024/09/02,03:00,0.76,0.0
2024/09/02,04:00,0.76,0.0
2024/09/02,05:00,0.77,0.0
2024/09/02,06:00,0.77,0.0
2024/09/02,07:00,0.79,0.0
2024/09/02,08:00,0.79,0.0
2024/09/02,09:00,0.79,0.0
2024/09/02,10:00,0.79,0.0
2024/09/02,11:00,0.78,0.0
2024/09/02,12:00,0.77,0.0
2024/09/02,14:00,0.74,0.0
2024/09/02,15:00,S/D,0.0
2024/09/02,16:00,S/D,0.0
2024/09/02,17:00,0.72,0.0
2024/09/02,18:00,0.73,0.0
2024/09/02,19:00,0.74,0.0
2024/09/02,20:00,0.75,0.0
2024/09/02,21:00,0.76,0.0
2024/09/02,22:00,0.77,0.0
2024/09/02,23:00,S/D,0.0
2024/09/03,00:00,0.77,0.0
2024/09/03,01:00,0.77,0.0
2024/09/03,02:00,S/D,0.0
2024/09/03,03:00,0.76,0.0
2024/09/03,04:00,S/D,0.0
2024/09/03,05:00,0.76,0.0
2024/09/03,06:00,0.77,0.0
2024/09/03,07:00,0.78,0.0
2024/09/03,08:00,0.78,0.0
2024/09/03,09:00,0.78,0.0
2024/09/03,10:00,0.77,0.0
2024/09/03,11:00,0.76,0.0
2024/09/03,12:00,0.75,0.0
2024/09/03,13:00,0.73,0.0
2024/09/03,14:00,0.72,0.0
2024/09/03,17:00,
