Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'23.54'',Longitud :,78°11'19.55'',Altitud :,616 msnm.
Tipo :,EHA - Hidrológica,Código :,472B2370
AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2021/04/01,00:00,1.89,0.1
2021/04/01,01:00,1.93,0.0
2021/04/01,02:00,1.99,0.0
2021/04/01,03:00,1.99,0.0
2021/04/01,04:00,1.98,0.2
2021/04/01,05:00,1.96,0.0
2021/04/01,06:00,1.92,0.0
2021/04/01,07:00,1.91,0.0
2021/04/01,08:00,1.89,0.0
2021/04/01,09:00,1.86,0.0
2021/04/01,10:00,1.85,0.0
2021/04/01,11:00,1.81,0.0
2021/04/01,12:00,1.77,0.0
2021/04/01,13:00,1.76,0.0
2021/04/01,14:00,1.76,0.0
2021/04/01,15:00,1.74,0.0
2021/04/01,16:00,1.72,0.0
2021/04/01,17:00,1.69,0.0
2021/04/01,18:00,1.72,0.0
2021/04/01,19:00,1.73,0.0
2021/04/01,20:00,1.75,0.0
2021/04/01,21:00,1.83,0.0
2021/04/01,22:00,1.84,0.0
2021/04/01,23:00,1.88,0.0
2021/04/02,00:00,1.91,0.0
2021/04/02,01:00,1.88,0.0
2021/04/02,02:00,1.90,0.0
2021/04/02,03:00,1.85,0.0
2021/04/02,04:00,1.81,0.0
2021/04/02,05:00,1.78,0.0
2021/04/02,06:00,1.77,0.0
2021/04/02,07:00,1.73,0.0
2021/04/02,08:00,1.73,0.0
2021/04/02,09:00,1.71,0.0
2021/04/02,10:00,1.69,0.0
2021/04/02,11:00,1.69,0.0
2021/04/02,12:00,1.68,0.0
2021/04/02,13:00,1.67,0.0
2021/04/02,14:00,1.66,0.0
2021/04/02,15:00,S/D,0.0
2021/04/02,16:00,S/D,0.0
2021/04/02,17:00,S/D,0.0
2021/04/02,18:00,S/D,0.0
2021/04/02,19:00,S/D,0.0
2021/04/02,20:00,S/D,0.0
2021/04/02,21:00,S/D,0.0
2021/04/02,22:00,S/D,0.0
2021/04/02,23:00,S/D,0.1
2021/04/03,00:00,S/D,0.0
2021/04/03,01:00,S/D,0.0
2021/04/03,02:00,S/D,0.0
2021/04/03,03:00,S/D,0.0
2021/04/03,04:00,S/D,0.0
2021/04/03,05:00,S/D,0.0
2021/04/03,06:00,S/D,0.0
2021/04/03,07:00,S/D,0.0
2021/04/03,08:00,S/D,0.0
2021/04/03,09:00,S/D,0.0
2021/04/03,10:00,S/D,0.0
2021/04/03,11:00,S/D,0.0
2021/04/03,12:00,S/D,0.0
2021/04/03,13:00,S/D,16.3
2021/04/03,14:00,S/D,0.1
2021/04/03,15:00,S/D,0.0
2021/04/03,16:00,S/D,0.0
2021/04/03,17:00,S/D,0.0
2021/04/03,18:00,S/D,0.0
2021/04/03,19:00,2.15,0.5
2021/04/03,20:00,2.19,0.3
2021/04/03,21:00,2.38,0.1
2021/04/03,22:00,2.47,0.0
2021/04/03,23:00,2.40,0.0
2021/04/04,00:00,2.29,0.0
2021/04/04,01:00,2.20,0.0
2021/04/04,02:00,2.16,0.0
2021/04/04,03:00,2.09,0.0
2021/04/04,04:00,2.01,0.0
2021/04/04,05:00,2.00,0.0
2021/04/04,06:00,1.96,0.0
2021/04/04,07:00,1.93,0.0
2021/04/04,08:00,1.91,0.0
2021/04/04,09:00,1.87,0.0
2021/04/04,10:00,1.87,0.0
2021/04/04,11:00,1.84,0.0
2021/04/04,12:00,1.83,0.0
2021/04/04,13:00,1.82,0.0
2021/04/04,14:00,1.79,0.0
2021/04/04,15:00,1.78,0.5
2021/04/04,16:00,1.79,0.8
2021/04/04,17:00,1.77,0.3
2021/04/04,18:00,1.76,0.0
2021/04/04,19:00,1.75,0.1
2021/04/04,20:00,1.73,0.0
2021/04/04,21:00,1.75,0.0
2021/04/04,22:00,1.71,0.0
2021/04/04,23:00,1.71,0.0
2021/04/05,00:00,1.69,0.0
2021/04/05,01:00,1.70,0.0
2021/04/05,02:00,1.68,0.0
2021/04/05,03:00,1.67,0.0
2021/04/05,04:00,1.67,0.0
2021/04/05,05:00,1.68,0.0
2021/04/05,06:00,1.66,0.0
2021/04/05,07:00,1.66,0.0
2021/04/05,08:00,1.64,0.0
2021/04/05,09:00,1.62,0.0
2021/04/05,10:00,1.62,0.0
2021/04/05,11:00,1.61,0.0
2021/04/05,12:00,1.62,0.0
2021/04/05,13:00,1.61,0.0
2021/04/05,14:00,1.60,0.0
2021/04/05,15:00,1.60,0.0
2021/04/05,16:00,1.60,0.9
2021/04/05,17:00,1.62,6.9
2021/04/05,18:00,1.62,3.2
2021/04/05,19:00,1.85,0.2
2021/04/05,20:00,1.86,0.0
2021/04/05,21:00,2.07,0.0
2021/04/05,22:00,2.03,0.0
2021/04/05,23:00,2.01,0.0
2021/04/06,00:00,1.97,0.0
2021/04/06,01:00,1.96,0.0
2021/04/06,02:00,1.92,0.0
2021/04/06,03:00,1.87,0.0
2021/04/06,04:00,1.84,0.0
2021/04/06,05:00,1.81,0.0
2021/04/06,06:00,1.78,0.1
2021/04/06,07:00,1.78,0.0
2021/04/06,08:00,1.77,0.0
2021/04/06,09:00,1.74,0.0
2021/04/06,10:00,1.73,0.0
2021/04/06,11:00,1.70,0.3
2021/04/06,12:00,1.69,0.7
2021/04/06,13:00,1.70,0.0
2021/04/06,14:00,1.70,0.0
