Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2026-02-01,6.98,6.99,7.03,7.06,7.02
2026-02-02,7.11,7.13,7.15,7.17,7.14
2026-02-03,7.32,7.35,7.39,7.46,7.38
2026-02-04,7.48,7.50,7.50,7.50,7.50
2026-02-05,7.52,7.54,7.57,7.59,7.56
2026-02-06,7.62,7.64,7.67,7.71,7.66
2026-02-07,7.74,7.76,7.78,7.78,7.77
2026-02-08,7.77,7.75,7.74,7.73,7.75
2026-02-09,7.73,7.71,7.70,7.68,7.71
2026-02-10,7.67,7.65,7.64,7.62,7.65
2026-02-11,7.62,7.62,7.57,7.51,7.58
2026-02-12,7.51,7.50,7.48,7.46,7.49
2026-02-13,7.44,7.42,7.39,7.35,7.40
2026-02-14,7.37,7.39,7.41,7.43,7.40
2026-02-15,7.33,7.26,7.23,7.21,7.26
2026-02-16,7.05,7.02,6.99,6.99,7.01
2026-02-17,6.98,6.96,6.96,6.96,6.97
2026-02-18,6.98,6.95,6.93,6.96,6.96
2026-02-19,6.97,6.97,6.97,6.95,6.97
2026-02-20,6.91,6.87,6.84,6.81,6.86
2026-02-21,6.76,6.73,6.71,6.68,6.72
2026-02-22,6.66,6.65,6.65,6.65,6.65
2026-02-23,6.67,6.68,6.72,6.76,6.71
2026-02-24,6.81,6.85,6.89,6.98,6.88
2026-02-25,6.99,6.99,6.99,7.05,7.01
2026-02-26,7.11,7.16,7.19,7.27,7.18
2026-02-27,7.29,7.29,7.30,7.34,7.31
2026-02-28,7.36,7.38,7.39,7.39,7.38
