Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-09-01,5.40,5.37,5.30,5.25,5.33
2023-09-02,5.09,5.05,5.01,4.97,5.03
2023-09-03,4.97,4.93,4.90,5.87,5.17
2023-09-04,4.80,4.76,4.71,4.68,4.74
2023-09-05,4.55,4.52,4.53,4.46,4.52
2023-09-06,4.35,4.31,4.33,4.31,4.33
2023-09-07,4.17,4.11,4.14,4.10,4.13
2023-09-08,4.05,4.02,3.98,3.98,4.01
2023-09-09,3.97,3.97,3.97,3.96,3.97
2023-09-10,3.96,3.96,3.96,3.98,3.97
