Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-08-01,7.30,7.29,7.28,7.28,7.29
2023-08-02,7.33,7.34,7.37,7.39,7.36
2023-08-03,7.45,7.49,7.49,7.51,7.49
2023-08-04,7.55,7.57,7.59,7.63,7.59
2023-08-05,7.77,7.78,7.79,7.70,7.76
2023-08-06,7.72,7.72,7.72,7.73,7.72
2023-08-07,7.69,7.69,7.67,7.66,7.68
2023-08-08,7.61,7.59,7.57,7.56,7.58
2023-08-09,7.49,7.46,7.43,7.41,7.45
2023-08-10,7.35,7.30,7.29,7.27,7.30
2023-08-11,7.21,7.19,7.17,7.11,7.17
2023-08-12,7.08,7.04,7.04,7.02,7.05
2023-08-13,6.89,6.87,6.85,6.83,6.86
2023-08-14,6.79,6.77,6.75,6.75,6.77
2023-08-15,6.77,6.77,6.78,6.78,6.78
2023-08-16,6.77,6.76,6.76,6.74,6.76
2023-08-17,6.72,6.72,6.72,6.72,6.72
2023-08-18,6.71,6.70,6.69,6.68,6.70
2023-08-19,6.67,6.67,6.67,6.68,6.67
2023-08-20,6.75,6.77,6.80,6.85,6.79
2023-08-21,6.92,6.94,6.96,6.98,6.95
2023-08-22,6.97,6.95,6.93,6.89,6.94
2023-08-23,6.79,6.75,6.70,6.65,6.72
2023-08-24,6.48,6.45,6.45,6.32,6.43
2023-08-25,6.19,6.10,6.05,5.94,6.07
2023-08-26,5.90,5.90,5.87,5.86,5.88
2023-08-27,6.15,6.19,6.22,6.25,6.20
2023-08-28,6.35,6.37,6.39,6.41,6.38
2023-08-29,6.43,6.40,6.38,6.35,6.39
2023-08-30,6.23,6.15,5.99,5.95,6.08
2023-08-31,6.75,5.70,5.64,5.58,5.92
