Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-12-01,8.20,8.22,8.24,8.26,8.23
2025-12-02,8.27,8.27,8.27,8.28,8.27
2025-12-03,8.28,8.28,8.28,8.29,8.28
2025-12-04,8.30,8.30,8.30,8.31,8.30
2025-12-05,8.31,8.31,8.31,8.31,8.31
2025-12-06,8.28,8.26,8.25,8.23,8.26
2025-12-07,8.18,8.14,8.08,8.01,8.10
2025-12-08,7.95,7.80,7.75,7.60,7.78
2025-12-09,7.40,7.35,7.29,7.24,7.32
2025-12-10,7.20,7.18,7.10,7.06,7.14
2025-12-11,6.60,6.54,6.50,6.49,6.53
2025-12-12,6.18,6.11,6.07,6.02,6.10
2025-12-13,5.98,5.90,5.83,5.78,5.87
2025-12-14,5.71,5.66,5.59,5.53,5.62
2025-12-15,5.45,5.33,5.28,5.21,5.32
2025-12-16,5.16,5.11,5.08,5.04,5.10
2025-12-17,5.01,4.98,4.95,4.91,4.96
2025-12-18,4.88,4.86,4.83,4.79,4.84
2025-12-19,4.77,4.74,4.73,4.73,4.74
2025-12-20,4.71,4.71,4.71,4.70,4.71
2025-12-21,4.78,4.66,4.57,4.48,4.62
2025-12-22,4.49,4.46,4.48,4.38,4.45
2025-12-23,4.20,4.17,4.14,4.12,4.16
2025-12-24,4.12,4.12,4.11,4.11,4.12
2025-12-25,4.10,4.13,4.15,4.17,4.14
2025-12-26,4.33,4.36,4.38,4.38,4.36
2025-12-27,4.40,4.43,4.46,4.48,4.44
2025-12-28,4.43,4.39,4.37,4.34,4.38
2025-12-29,4.28,4.25,4.19,4.14,4.22
2025-12-30,4.10,4.04,3.99,3.85,4.00
2025-12-31,3.82,3.80,3.76,3.70,3.77
