Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-04-01,5.56,5.54,5.53,5.51,5.54
2024-04-02,5.49,5.49,5.50,5.50,5.50
2024-04-03,5.50,5.51,5.52,5.53,5.52
2024-04-04,5.59,5.62,5.65,5.68,5.64
2024-04-05,5.84,5.85,5.86,5.89,5.86
2024-04-06,5.89,5.93,5.96,5.98,5.94
2024-04-07,5.96,5.99,6.09,6.20,6.06
2024-04-08,6.42,6.48,6.54,6.59,6.51
2024-04-09,6.73,6.75,6.76,6.77,6.75
2024-04-10,6.77,6.77,6.77,6.77,6.77
2024-04-11,6.79,6.80,6.81,6.82,6.81
2024-04-12,6.86,6.83,6.79,6.79,6.82
2024-04-13,6.92,6.92,6.92,6.92,6.92
2024-04-14,6.91,6.90,6.89,6.89,6.90
2024-04-15,6.86,6.86,6.87,6.87,6.87
2024-04-16,6.86,6.86,6.86,6.85,6.86
2024-04-17,6.78,6.76,6.73,6.73,6.75
2024-04-18,6.76,6.73,6.59,6.59,6.67
2024-04-19,6.58,6.59,6.59,6.57,6.58
2024-04-20,6.54,6.52,6.50,6.48,6.51
2024-04-21,6.38,6.35,6.33,6.29,6.34
2024-04-22,6.32,6.31,6.30,6.29,6.31
2024-04-23,6.28,6.28,6.28,6.28,6.28
2024-04-24,6.35,6.41,6.45,6.48,6.42
2024-04-25,6.75,6.80,6.86,6.93,6.84
2024-04-26,7.12,7.17,7.19,7.21,7.17
2024-04-27,7.30,7.32,7.34,7.36,7.33
2024-04-28,7.46,7.47,7.48,7.49,7.48
2024-04-29,7.52,7.54,7.55,7.56,7.54
2024-04-30,7.54,7.53,7.52,7.52,7.53
