Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CRUZ
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°31'2.09'',Longitud :,73°9'14.81'',Altitud :,95 msnm.
Tipo :,HLM - Hidrológica,Código :,240109
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-05-01,7.49,7.49,7.48,7.48,7.49
2024-05-02,7.44,7.41,7.39,7.39,7.41
2024-05-03,7.33,7.30,7.29,7.27,7.30
2024-05-04,7.24,7.22,7.21,7.20,7.22
2024-05-05,7.24,7.24,7.24,7.23,7.24
2024-05-06,7.28,7.30,7.31,7.33,7.31
2024-05-07,7.47,7.49,7.51,7.51,7.50
2024-05-08,7.53,7.53,7.52,7.51,7.52
2024-05-09,7.56,7.59,7.62,7.64,7.60
2024-05-10,7.74,7.77,7.80,7.82,7.78
2024-05-11,7.91,7.94,7.96,7.99,7.95
2024-05-12,8.03,8.06,8.08,8.11,8.07
2024-05-13,8.16,8.18,8.20,8.22,8.19
2024-05-14,8.29,8.30,8.31,8.32,8.31
2024-05-15,8.39,8.40,8.41,8.42,8.41
2024-05-16,8.54,8.56,8.57,8.57,8.56
2024-05-17,8.60,8.61,8.62,8.62,8.61
2024-05-18,8.63,8.64,8.65,8.65,8.64
2024-05-19,8.67,8.67,8.67,8.66,8.67
2024-05-20,8.66,8.67,8.67,8.68,8.67
2024-05-21,8.75,8.76,8.77,8.77,8.76
2024-05-22,8.75,8.76,8.77,8.77,8.76
2024-05-23,8.78,8.78,8.78,8.78,8.78
2024-05-24,8.72,8.74,8.73,8.73,8.73
2024-05-25,8.70,8.69,8.67,8.67,8.68
2024-05-26,8.65,8.63,8.62,8.62,8.63
2024-05-27,8.65,8.64,8.64,8.64,8.64
2024-05-28,8.66,8.67,8.68,8.69,8.68
2024-05-29,8.69,8.69,8.71,8.71,8.70
2024-05-30,8.74,8.74,8.75,8.75,8.75
2024-05-31,8.76,8.76,8.78,8.78,8.77
