Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN LORENZO
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,BARRANCA
Latitud :,4°49'46.35'',Longitud :,76°33'17.16'',Altitud :,134 msnm.
Tipo :,CO - Meteorológica,Código :,104057
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-06-01,32.2,22.6,94.0,0.0
2021-06-02,30.8,23,94.1,0.0
2021-06-03,30.1,23.2,98.2,26.7
2021-06-04,29.8,23.5,95.7,6.6
2021-06-05,32,23.2,92.4,1.6
2021-06-06,27.4,23.1,S/D,2.4
2021-06-07,29.4,22,95.3,0.0
2021-06-08,32,21.8,95.2,0.0
2021-06-09,31.5,22.8,89.9,0.0
2021-06-10,32.9,22.8,86.4,S/D
2021-06-11,S/D,S/D,S/D,S/D
2021-06-12,S/D,S/D,S/D,S/D
2021-06-13,S/D,S/D,S/D,S/D
2021-06-14,31.8,S/D,S/D,0.0
2021-06-15,33.2,19.8,90.2,0.0
2021-06-16,30,23.4,93.6,23.4
2021-06-17,31,22.4,91.3,0.0
2021-06-18,27,22,97.9,31.8
2021-06-19,29.9,22.6,98.4,9.1
2021-06-20,27,22.6,96.6,15.5
2021-06-21,30.2,22,95.2,4.1
2021-06-22,28.8,21.8,94.7,0.0
2021-06-23,32.6,22.2,91.7,0.0
2021-06-24,32.4,22,93.6,0.0
2021-06-25,33.4,22.2,89.4,0.0
2021-06-26,31.8,22,95.9,24.1
2021-06-27,32.4,21.8,94.0,0.0
2021-06-28,31.7,21.6,95.6,3.6
2021-06-29,25.4,23.2,97.5,44.6
2021-06-30,25.6,17.6,91.4,0.0
