Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SAN LORENZO
Departamento :,LORETO,Provincia :,ALTO AMAZONAS,Distrito :,BARRANCA
Latitud :,4°49'46.35'',Longitud :,76°33'17.16'',Altitud :,134 msnm.
Tipo :,CO - Meteorológica,Código :,104057
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2021-03-01,32.4,22.4,90.6,0.0
2021-03-02,29.7,21.8,94.5,11.3
2021-03-03,29.8,22.8,91.4,0.0
2021-03-04,31.6,22,92.0,0.0
2021-03-05,30.9,22.4,95.0,0.6
2021-03-06,31.2,22.6,91.8,0.0
2021-03-07,27.8,22.8,96.4,0.4
2021-03-08,32.4,23,88.9,S/D
2021-03-09,31,23,S/D,1.5
2021-03-10,31.7,22.8,S/D,0.0
2021-03-11,31.6,23,S/D,0.0
2021-03-12,30.8,23.2,93.6,0.0
2021-03-13,S/D,23,S/D,S/D
2021-03-14,S/D,23.2,S/D,S/D
2021-03-15,33.6,22.6,92.1,16.5
2021-03-16,29.4,22.7,97.4,1.6
2021-03-17,33,22.4,89.6,10.0
2021-03-18,31.6,22.8,93.0,14.9
2021-03-19,31.4,23.6,92.0,S/D
2021-03-20,30,S/D,S/D,69.1
2021-03-21,26.8,21.8,94.8,S/D
2021-03-22,31.8,S/D,S/D,0.0
2021-03-23,32.6,22,91.1,0.0
2021-03-24,32.2,23.6,90.4,S/D
2021-03-25,31.4,S/D,S/D,0.0
2021-03-26,33.9,23,89.2,S/D
2021-03-27,30,S/D,S/D,0.6
2021-03-28,S/D,23.2,S/D,S/D
2021-03-29,28.6,23.2,96.5,11.4
2021-03-30,31.8,22.8,88.0,3.3
2021-03-31,30.8,22.6,96.9,2.7
