Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-03-01,7.85,7.86,7.86,7.86,7.86
2020-03-02,7.90,7.91,7.91,7.92,7.91
2020-03-03,7.95,7.95,7.96,7.97,7.96
2020-03-04,7.99,8.00,8.03,8.06,8.02
2020-03-05,8.11,8.13,8.15,8.17,8.14
2020-03-06,8.19,8.20,8.19,8.19,8.19
2020-03-07,8.25,8.26,8.26,8.27,8.26
2020-03-08,8.27,8.27,8.28,8.28,8.28
2020-03-09,8.31,8.31,8.32,8.33,8.32
2020-03-10,8.33,8.33,8.34,8.34,8.34
2020-03-11,8.36,8.39,8.42,8.44,8.40
2020-03-12,8.40,8.39,8.39,8.39,8.39
2020-03-13,8.46,8.46,8.46,8.47,8.46
2020-03-14,8.48,8.48,8.52,8.53,8.50
2020-03-15,8.53,8.53,8.54,8.55,8.54
2020-03-16,8.55,8.55,8.56,8.57,8.56
2020-03-17,8.58,8.58,8.59,8.59,8.59
