Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-03-01,11.81,11.82,11.83,11.84,11.83
2025-03-02,11.88,11.89,11.90,11.91,11.90
2025-03-03,11.96,11.96,11.97,11.98,11.97
2025-03-04,12.01,12.01,12.01,12.02,12.01
2025-03-05,12.05,11.95,12.06,12.08,12.04
2025-03-06,12.12,12.13,12.13,12.14,12.13
2025-03-07,12.15,12.15,12.15,12.16,12.15
2025-03-08,12.17,12.17,12.17,12.18,12.17
2025-03-09,12.20,12.21,12.22,12.23,12.22
2025-03-10,12.27,12.28,12.29,12.31,12.29
2025-03-11,12.37,12.39,12.41,12.43,12.40
2025-03-12,12.51,12.53,12.55,12.58,12.54
2025-03-13,12.67,12.69,12.69,12.68,12.68
2025-03-14,12.69,12.69,12.69,12.69,12.69
2025-03-15,12.69,12.71,12.72,12.72,12.71
2025-03-16,12.73,12.73,12.73,12.73,12.73
2025-03-17,12.74,12.74,12.74,12.75,12.74
2025-03-18,12.76,12.77,12.78,12.79,12.78
2025-03-19,12.80,12.80,12.80,12.81,12.80
2025-03-20,12.82,12.82,12.83,12.83,12.83
2025-03-21,12.85,12.86,12.89,12.91,12.88
2025-03-22,12.92,12.92,12.93,12.94,12.93
2025-03-23,12.95,12.95,12.95,12.96,12.95
2025-03-24,12.97,12.97,12.97,12.98,12.97
2025-03-25,13.00,13.01,13.02,13.02,13.01
2025-03-26,13.05,13.05,13.05,13.06,13.05
2025-03-27,13.07,13.07,13.07,13.08,13.07
2025-03-28,13.09,13.10,13.11,13.12,13.11
2025-03-29,13.16,13.17,13.18,13.19,13.18
2025-03-30,13.22,13.22,13.22,13.23,13.22
2025-03-31,13.24,13.24,13.24,13.25,13.24
