Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2021-06-01,9.38,9.38,9.37,9.37,9.38
2021-06-02,9.36,9.34,9.31,9.29,9.33
2021-06-03,9.28,9.26,9.24,9.23,9.25
2021-06-04,9.22,9.21,9.21,9.20,9.21
2021-06-05,9.18,9.12,9.09,9.06,9.11
2021-06-06,9.04,9.02,8.99,8.96,9.00
2021-06-07,8.93,8.93,8.92,8.91,8.92
2021-06-08,8.90,8.88,8.87,8.85,8.88
2021-06-09,8.83,8.82,8.81,8.80,8.82
2021-06-10,8.78,8.78,8.77,8.77,8.78
2021-06-11,8.76,8.75,8.74,8.74,8.75
2021-06-12,8.73,8.73,8.73,8.73,8.73
2021-06-13,8.73,8.72,8.71,8.70,8.72
2021-06-14,8.67,8.65,8.64,8.63,8.65
2021-06-15,8.61,8.59,8.55,8.53,8.57
2021-06-16,8.50,8.49,8.47,8.45,8.48
2021-06-17,8.43,8.43,8.42,8.42,8.43
2021-06-18,8.41,8.41,8.41,8.41,8.41
2021-06-19,8.40,8.39,8.39,8.38,8.39
2021-06-20,8.37,8.37,8.37,8.37,8.37
2021-06-21,8.36,8.36,8.36,8.35,8.36
2021-06-22,8.35,8.33,8.31,8.29,8.32
2021-06-23,8.28,8.25,8.22,8.20,8.24
2021-06-24,8.18,8.18,8.18,8.18,8.18
2021-06-25,8.18,8.24,8.29,8.30,8.25
2021-06-26,8.29,8.29,8.29,8.29,8.29
2021-06-27,8.29,8.25,8.23,8.21,8.25
2021-06-28,8.19,8.16,8.14,8.12,8.15
2021-06-29,8.10,8.08,8.06,8.04,8.07
2021-06-30,8.03,7.95,7.91,7.88,7.94
