Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-10-01,7.23,7.26,7.29,7.32,7.28
2025-10-02,7.37,7.38,7.39,7.40,7.39
2025-10-03,7.43,7.43,7.43,7.43,7.43
2025-10-04,7.43,7.43,7.43,7.43,7.43
2025-10-05,7.43,7.43,7.43,7.44,7.43
2025-10-06,7.45,7.49,7.54,7.58,7.52
2025-10-07,7.68,7.70,7.72,7.75,7.71
2025-10-08,7.83,7.83,7.83,7.84,7.83
2025-10-09,7.86,7.86,7.85,7.84,7.85
2025-10-10,7.82,7.82,7.82,7.81,7.82
2025-10-11,7.78,7.78,7.77,7.76,7.77
2025-10-12,7.72,7.71,7.70,7.69,7.71
2025-10-13,7.63,7.63,7.63,7.63,7.63
2025-10-14,7.64,7.66,7.68,7.70,7.67
2025-10-15,7.77,7.79,7.81,7.83,7.80
2025-10-16,7.90,7.92,7.94,7.97,7.93
2025-10-17,8.05,8.05,8.05,8.05,8.05
2025-10-18,8.05,8.05,8.05,8.05,8.05
2025-10-19,8.05,8.05,8.05,8.05,8.05
2025-10-20,8.05,8.07,8.09,8.15,8.09
2025-10-21,8.23,8.25,8.27,8.29,8.26
2025-10-22,8.37,8.39,8.42,8.45,8.41
2025-10-23,8.57,8.57,8.58,8.59,8.58
2025-10-24,8.62,8.62,8.62,8.62,8.62
2025-10-25,8.62,8.62,8.62,8.60,8.62
2025-10-26,8.58,8.57,8.56,8.55,8.57
2025-10-27,8.57,8.58,8.59,8.60,8.59
2025-10-28,8.63,8.64,8.66,8.68,8.65
2025-10-29,8.77,8.78,8.79,8.80,8.79
2025-10-30,8.85,8.85,8.85,8.85,8.85
2025-10-31,8.85,8.85,8.85,8.85,8.85
