Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2022-02-01,6.46,6.47,6.50,6.52,6.49
2022-02-02,6.52,6.52,6.52,6.52,6.52
2022-02-03,6.39,6.37,6.36,6.36,6.37
2022-02-04,6.30,6.29,6.28,6.27,6.29
2022-02-05,6.24,6.21,6.18,6.16,6.20
2022-02-06,6.14,6.12,6.09,6.06,6.10
2022-02-07,6.04,6.04,6.04,6.03,6.04
2022-02-08,6.03,6.04,6.05,6.06,6.05
2022-02-09,6.08,6.17,6.23,6.29,6.19
2022-02-10,6.38,6.39,6.40,6.42,6.40
2022-02-11,6.45,6.53,6.58,6.60,6.54
2022-02-12,6.62,6.70,6.76,6.83,6.73
2022-02-13,6.92,6.98,7.05,7.06,7.00
2022-02-14,7.07,7.08,7.09,7.10,7.09
2022-02-15,7.12,7.17,7.22,7.26,7.19
2022-02-16,7.31,7.35,7.37,7.40,7.36
2022-02-17,7.43,7.45,7.47,7.49,7.46
2022-02-18,7.53,7.58,7.61,7.65,7.59
2022-02-19,7.70,7.72,7.72,7.73,7.72
2022-02-20,7.75,7.76,7.77,7.78,7.77
2022-02-21,7.82,7.82,7.83,7.84,7.83
2022-02-22,7.86,7.86,7.80,7.75,7.82
2022-02-23,7.70,7.67,7.65,7.64,7.67
2022-02-24,7.63,7.62,7.61,7.60,7.62
2022-02-25,7.58,7.57,7.56,7.55,7.57
2022-02-26,7.54,7.52,7.51,7.50,7.52
2022-02-27,7.49,7.49,7.48,7.48,7.49
2022-02-28,7.47,7.47,7.47,7.47,7.47
