Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : NAUTA
Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2024-10-01,-1.03,-1.03,-1.04,-1.05,-1.04
2024-10-02,-1.07,-1.07,-1.07,-1.07,-1.07
2024-10-03,-1.09,-1.09,-1.09,-1.09,-1.09
2024-10-04,-1.09,-1.09,-1.09,-1.09,-1.09
2024-10-05,-1.09,-1.08,-1.07,-1.06,-1.08
2024-10-06,-0.99,-0.98,-0.97,-0.96,-0.98
2024-10-07,-0.91,-0.89,-0.87,-0.85,-0.88
2024-10-08,-0.81,-0.78,-0.75,-0.72,-0.77
2024-10-09,-0.59,-0.55,-0.51,-0.47,-0.53
2024-10-10,-0.34,-0.30,-0.26,-0.22,-0.28
2024-10-11,-0.07,-0.05,-0.03,-0.01,-0.04
2024-10-12,0.04,0.05,0.05,0.04,0.05
2024-10-13,0.02,0.01,0.00,-0.02,0.00
2024-10-14,-0.04,-0.04,-0.03,-0.02,-0.03
2024-10-15,0.04,0.09,0.14,0.20,0.12
2024-10-16,0.38,0.42,0.46,0.50,0.44
2024-10-17,0.63,0.65,0.67,0.69,0.66
2024-10-18,0.79,0.82,0.85,0.88,0.84
2024-10-19,0.99,1.02,1.05,1.08,1.04
2024-10-20,1.20,1.20,1.19,1.18,1.19
2024-10-21,1.13,1.10,1.07,1.04,1.09
2024-10-22,0.93,0.90,0.87,0.84,0.89
2024-10-23,0.76,0.73,0.70,0.67,0.72
2024-10-24,0.56,0.53,0.50,0.47,0.52
2024-10-25,0.34,0.31,0.28,0.24,0.29
2024-10-26,0.11,0.08,0.02,0.02,0.06
2024-10-27,-0.05,-0.05,-0.03,0.00,-0.03
2024-10-28,0.09,0.14,0.19,0.26,0.17
2024-10-29,0.44,0.52,0.60,0.69,0.56
2024-10-30,1.01,1.08,1.16,1.25,1.13
2024-10-31,1.55,1.66,1.78,1.97,1.74
