Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : PUENTE INAMBARI
Departamento :,MADRE DE DIOS,Provincia :,MANU,Distrito :,HUEPETUHE
Latitud :,13°11'10.97'',Longitud :,70°23'2.44'',Altitud :,374 msnm.
Tipo :,HLM - Hidrológica,Código :,113251
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2023-10-01,9.20,9.20,9.10,9.10,9.15
2023-10-02,9.20,9.20,9.30,9.40,9.28
2023-10-03,9.30,9.30,9.30,9.40,9.33
2023-10-04,9.20,9.20,9.40,9.50,9.33
2023-10-05,9.30,9.30,9.30,9.20,9.28
2023-10-06,9.20,9.20,9.10,9.10,9.15
2023-10-07,10.40,11.40,11.00,11.00,10.95
2023-10-08,10.10,10.00,9.90,9.90,9.98
2023-10-09,10.20,10.20,10.40,10.30,10.28
2023-10-10,9.90,9.90,9.85,9.80,9.86
2023-10-11,9.70,9.70,9.60,9.50,9.63
2023-10-12,9.40,9.30,9.30,9.20,9.30
2023-10-13,9.30,9.20,9.20,9.20,9.23
2023-10-14,9.40,9.40,9.30,9.20,9.33
2023-10-15,9.10,9.10,9.00,9.00,9.05
2023-10-16,9.20,9.20,9.30,9.30,9.25
2023-10-17,9.20,9.20,9.10,9.10,9.15
2023-10-18,9.10,9.10,9.00,9.00,9.05
2023-10-19,9.00,9.00,8.90,8.90,8.95
2023-10-20,9.10,9.10,9.00,9.00,9.05
2023-10-21,9.30,9.30,9.20,9.20,9.25
2023-10-22,9.20,9.20,9.10,9.10,9.15
2023-10-23,9.00,9.00,8.95,8.95,8.98
2023-10-24,9.10,9.10,9.00,9.00,9.05
2023-10-25,9.20,9.20,9.10,9.10,9.15
2023-10-26,9.10,9.10,9.10,9.00,9.08
2023-10-27,9.50,9.50,9.40,9.40,9.45
2023-10-28,10.40,10.30,10.30,10.20,10.30
2023-10-29,10.00,10.00,10.00,10.00,10.00
2023-10-30,10.00,10.20,10.20,10.30,10.18
2023-10-31,13.80,16.80,16.60,15.30,15.63
