Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAZAN
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
Latitud :,3°29'17.4'',Longitud :,73°4'54.6'',Altitud :,96 msnm.
Tipo :,CP - Meteorológica,Código :,103044
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-04-01,29.6,23.8,86.1,2.7
2020-04-02,34.4,23.4,80.0,1.1
2020-04-03,S/D,23.8,S/D,S/D
2020-04-04,S/D,24.3,S/D,S/D
2020-04-05,31.4,24.4,83.1,37.5
2020-04-06,33.6,24.3,84.6,0.7
2020-04-07,32.8,23.5,80.5,18.0
2020-04-08,30.6,24.5,84.9,12.5
2020-04-09,31.8,24.2,86.8,0.0
2020-04-10,30.6,24.2,84.6,16.4
2020-04-11,31,23.8,86.4,9.4
2020-04-12,28.4,24.2,86.6,1.5
2020-04-13,32.4,23.4,82.0,0.0
2020-04-14,34.2,23.8,79.7,0.0
2020-04-15,32.4,24.5,80.8,0.0
2020-04-16,31.9,24.9,85.7,138.0
2020-04-17,S/D,22.5,S/D,S/D
2020-04-18,32,23,79.6,3.1
2020-04-19,31.2,22.8,S/D,2.7
2020-04-20,32.4,22.5,76.2,0.0
2020-04-21,33.6,22.6,76.4,0.0
2020-04-22,33.6,23.6,79.4,0.3
2020-04-23,31.8,24.7,83.0,0.0
2020-04-24,31.8,25,81.6,0.0
2020-04-25,31.6,23.6,82.5,4.5
2020-04-26,S/D,23.6,S/D,S/D
2020-04-27,32.2,23.4,76.6,0.0
2020-04-28,31.2,24.5,86.1,16.4
2020-04-29,32.8,24,83.9,4.5
2020-04-30,27.6,24.4,85.6,6.9
