Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : AMAZONAS
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,IQUITOS
Latitud :,3°45'50.3'',Longitud :,73°15'17.7'',Altitud :,113 msnm.
Tipo :,CO - Meteorológica,Código :,103057
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2025-07-01,29.4,23.1,91.3,13.5
2025-07-02,30.2,19.4,94.1,0.0
2025-07-03,31,20.4,86.0,0.0
2025-07-04,32,20.2,90.3,0.0
2025-07-05,31.2,20.2,81.5,0.0
2025-07-06,32.4,22.2,S/D,0.0
2025-07-07,32.2,21.4,91.6,3.0
2025-07-08,31.4,22.4,92.7,6.5
2025-07-09,31.4,21.2,89.6,4.0
2025-07-10,S/D,21.2,S/D,0.5
2025-07-11,30.2,20.4,S/D,21.9
2025-07-12,32,22.2,91.6,0.0
2025-07-13,33,22.4,95.2,0.0
2025-07-14,32,22.2,S/D,0.0
2025-07-15,33,22.4,S/D,0.0
2025-07-16,32.8,22.8,S/D,0.0
2025-07-17,28,22.4,94.2,4.4
2025-07-18,28.2,23,91.9,8.2
2025-07-19,31,22.2,92.5,0.0
2025-07-20,32.2,20.6,S/D,0.0
2025-07-21,29.8,22.4,S/D,0.5
2025-07-22,29.8,23.2,S/D,0.0
2025-07-23,30.6,23.6,S/D,4.3
2025-07-24,29.6,23,91.8,0.0
2025-07-25,30.2,22,S/D,5.8
2025-07-26,S/D,21.8,S/D,36.0
2025-07-27,32,22.4,79.4,0.0
2025-07-28,S/D,22.4,S/D,6.5
2025-07-29,S/D,23.2,S/D,0.0
2025-07-30,S/D,22,S/D,5.0
2025-07-31,28.8,23.4,92.6,2.5
