Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CLOTILDE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
Latitud :,2°29'15.3'',Longitud :,73°40'45.1'',Altitud :,118 msnm.
Tipo :,CO - Meteorológica,Código :,102009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-04-01,S/D,24.4,S/D,0.0
2024-04-02,34,S/D,86.2,34.4
2024-04-03,S/D,24.2,S/D,0.0
2024-04-04,33.2,25.2,86.6,8.6
2024-04-05,31.2,24,89.7,54.4
2024-04-06,32,23,87.1,0.0
2024-04-07,32.2,25,89.5,1.8
2024-04-08,33,24.2,85.1,0.0
2024-04-09,34,24.8,80.1,0.0
2024-04-10,34.2,24.6,84.2,47.4
2024-04-11,30,24,88.9,0.0
2024-04-12,33.2,24.8,84.8,0.0
2024-04-13,S/D,25,S/D,3.5
2024-04-14,S/D,23.8,S/D,2.0
2024-04-15,S/D,25.6,S/D,3.7
2024-04-16,S/D,25,S/D,44.0
2024-04-17,32,25.2,87.3,0.0
2024-04-18,31.2,25.4,88.8,1.0
2024-04-19,27.2,25,94.7,18.5
2024-04-20,29.2,23.8,93.0,1.2
2024-04-21,S/D,24.6,S/D,9.5
2024-04-22,29,24.4,95.3,15.6
2024-04-23,27.2,24,95.3,1.2
2024-04-24,31.2,25.2,87.0,0.0
2024-04-25,31,24.8,84.6,31.5
2024-04-26,31.2,24.4,88.2,0.0
2024-04-27,32.2,25,88.9,8.0
2024-04-28,S/D,24.8,S/D,4.7
2024-04-29,33.2,S/D,86.6,25.5
2024-04-30,33,24.2,85.0,5.7
