Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : SANTA CLOTILDE
Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
Latitud :,2°29'15.3'',Longitud :,73°40'45.1'',Altitud :,118 msnm.
Tipo :,CO - Meteorológica,Código :,102009
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-10-01,34,S/D,S/D,8.0
2020-10-02,35.2,S/D,S/D,0.0
2020-10-03,34.2,S/D,S/D,17.9
2020-10-04,37.2,S/D,S/D,5.3
2020-10-05,32.2,S/D,S/D,0.0
2020-10-06,34.2,S/D,S/D,0.0
2020-10-07,36,S/D,S/D,1.4
2020-10-08,34.8,S/D,S/D,9.8
2020-10-09,35.2,S/D,S/D,0.0
2020-10-10,37,S/D,S/D,0.0
2020-10-11,38,S/D,S/D,0.0
2020-10-12,37.2,S/D,S/D,0.0
2020-10-13,36.2,S/D,S/D,14.8
2020-10-14,34.2,S/D,S/D,0.0
2020-10-15,34.2,S/D,S/D,0.0
2020-10-16,33.2,S/D,S/D,0.0
2020-10-17,35,S/D,S/D,4.3
2020-10-18,34.2,S/D,S/D,0.0
2020-10-19,36,S/D,S/D,0.0
2020-10-20,36,S/D,S/D,63.0
2020-10-21,32,S/D,S/D,4.6
2020-10-22,28.2,S/D,S/D,6.8
2020-10-23,34,S/D,S/D,8.8
2020-10-24,35.2,S/D,S/D,0.0
2020-10-25,37,S/D,S/D,16.0
2020-10-26,35,S/D,S/D,0.0
2020-10-27,36,S/D,S/D,1.3
2020-10-28,34,S/D,S/D,0.0
2020-10-29,37,S/D,S/D,1.3
2020-10-30,33.2,S/D,S/D,66.2
2020-10-31,29,S/D,S/D,2.2
